Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1, ,Brazil,838,842,-4,-,1999-09-15
2,1,Czech Republic,772,753,+19,-,1999-09-15
3,1,France,766,755,+11,-,1999-09-15
4,3,Spain,757,713,+44,-,1999-09-15
5, ,Germany,735,718,+17,-,1999-09-15
6,2,Croatia,727,712,+15,-,1999-09-15
7,1,Argentina,717,715,+2,-,1999-09-15
8,4,Italy,714,720,-6,-,1999-09-15
9,2,Norway,712,689,+23,-,1999-09-15
10,1,Mexico,709,709,-,-,1999-09-15
11,1,Romania,709,694,+15,-,1999-09-15
12,2,England,683,665,+18,-,1999-09-15
13,1,Portugal,671,679,-8,-,1999-09-15
14,1,Netherlands,668,669,-1,-,1999-09-15
15, ,Sweden,667,664,+3,-,1999-09-15
16,1,Denmark,661,627,+34,-,1999-09-15
17,5,Yugoslavia,656,620,+36,-,1999-09-15
18,2,Paraguay,647,647,-,-,1999-09-15
19,9,Russia,642,598,+44,-,1999-09-15
20,1,USA,621,623,-2,-,1999-09-15
21,2,Morocco,620,625,-5,-,1999-09-15
22,2,Slovakia,620,612,+8,-,1999-09-15
23,5,Colombia,619,627,-8,-,1999-09-15
24,1,Chile,618,618,-,-,1999-09-15
25,1,Israel,618,609,+9,-,1999-09-15
26,6,Austria,615,623,-8,-,1999-09-15
27,2,Ukraine,615,610,+5,-,1999-09-15
28,4,Scotland,606,588,+18,-,1999-09-15
29,2,Poland,595,606,-11,-,1999-09-15
30,1,Tunisia,593,594,-1,-,1999-09-15
31,1,South Africa,591,593,-2,-,1999-09-15
32,1,Belgium,589,581,+8,-,1999-09-15
33,2,Zambia,582,590,-8,-,1999-09-15
34,4,Republic of Ireland,576,564,+12,-,1999-09-15
35,5,Turkey,576,558,+18,-,1999-09-15
36,2,Bulgaria,570,568,+2,-,1999-09-15
37, ,Greece,568,566,+2,-,1999-09-15
38,3,Egypt,565,567,-2,-,1999-09-15
39,3,Saudi Arabia,565,567,-2,-,1999-09-15
40,1,Korea Republic,559,561,-2,-,1999-09-15
41,2,Uruguay,557,547,+10,-,1999-09-15
42,7,Trinidad and Tobago,554,530,+24,-,1999-09-15
43,7,Hungary,547,530,+17,-,1999-09-15
44,2,Jamaica,547,549,-2,-,1999-09-15
45,4,Peru,546,550,-4,-,1999-09-15
46,1,Lithuania,543,533,+10,-,1999-09-15
47,3,Ghana,543,547,-4,-,1999-09-15
48,3,Côte d'Ivoire,541,539,+2,-,1999-09-15
49,1,Iceland,536,532,+4,-,1999-09-15
50,1,IR Iran,534,526,+8,-,1999-09-15
51,5,Japan,533,539,-6,-,1999-09-15
52,9,Slovenia,522,494,+28,-,1999-09-15
53,1,Switzerland,516,513,+3,-,1999-09-15
54,1,Cameroon,515,519,-4,-,1999-09-15
55,3,Bolivia,514,521,-7,-,1999-09-15
56, ,Angola,507,507,-,-,1999-09-15
57,2,Kuwait,507,509,-2,-,1999-09-15
58,2,Finland,499,497,+2,-,1999-09-15
59,1,China PR,497,499,-2,-,1999-09-15
60,3,Ecuador,497,503,-6,-,1999-09-15
61,2,Zaire,496,497,-1,-,1999-09-15
62,3,Georgia,493,487,+6,-,1999-09-15
63, ,Latvia,493,490,+3,-,1999-09-15
64,2,Australia,490,494,-4,-,1999-09-15
65,1,United Arab Emirates,487,487,-,-,1999-09-15
66,3,Thailand,478,465,+13,-,1999-09-15
67,1,Costa Rica,474,478,-4,-,1999-09-15
68,2,FYR Macedonia,471,482,-11,-,1999-09-15
69,1,Zimbabwe,471,460,+11,-,1999-09-15
70,3,Cyprus,467,481,-14,-,1999-09-15
71, ,Northern Ireland,456,459,-3,-,1999-09-15
72, ,Mali,455,454,+1,-,1999-09-15
73,1,Guatemala,453,453,-,-,1999-09-15
74,14,Estonia,451,411,+40,-,1999-09-15
75,2,Honduras,450,454,-4,-,1999-09-15
76,1,Nigeria,450,453,-3,-,1999-09-15
77,1,Burkina Faso,446,443,+3,-,1999-09-15
78,8,Wales,443,416,+27,-,1999-09-15
79,2,Algeria,442,444,-2,-,1999-09-15
80,4,Uzbekistan,441,428,+13,-,1999-09-15
81,2,Cuba,439,437,+2,-,1999-09-15
82,6,Gabon,439,447,-8,-,1999-09-15
83,2,Senegal,434,426,+8,-,1999-09-15
84,3,Namibia,432,433,-1,-,1999-09-15
85,5,Qatar,430,433,-3,-,1999-09-15
86,4,Guinea,426,431,-5,-,1999-09-15
87,4,Togo,422,430,-8,-,1999-09-15
88,7,Albania,411,396,+15,-,1999-09-15
89,1,Bosnia and Herzegovina,411,408,+3,-,1999-09-15
90,3,Oman,411,412,-1,-,1999-09-15
91,2,Armenia,405,409,-4,-,1999-09-15
92,16,Iraq,404,346,+58,-,1999-09-15
93,2,El Salvador,403,405,-2,-,1999-09-15
94,3,Canada,400,385,+15,-,1999-09-15
95,5,Moldova,398,372,+26,-,1999-09-15
96,4,Mozambique,395,403,-8,-,1999-09-15
97,1,Congo,390,394,-4,-,1999-09-15
98,5,Azerbaijan,386,368,+18,-,1999-09-15
99,5,Liberia,380,399,-19,-,1999-09-15
100,7,Belarus,378,403,-25,-,1999-09-15
101,3,Singapore,375,383,-8,-,1999-09-15
102,2,Indonesia,374,366,+8,-,1999-09-15
103,4,Kenya,373,380,-7,-,1999-09-15
104,3,New Zealand,372,368,+4,-,1999-09-15
105,3,Vietnam,363,368,-5,-,1999-09-15
106,1,Haiti,354,354,-,-,1999-09-15
107,4,Syria,352,340,+12,-,1999-09-15
108,2,Uganda,351,352,-1,-,1999-09-15
109,3,Lebanon,347,335,+12,-,1999-09-15
110,3,Faroe Islands,341,350,-9,-,1999-09-15
111,1,Venezuela,340,341,-1,-,1999-09-15
112,3,Malawi,335,341,-6,-,1999-09-15
113, ,Barbados,320,320,-,-,1999-09-15
114, ,India,318,318,-,-,1999-09-15
115,12,Jordan,313,265,+48,-,1999-09-15
116,1,Sierra Leone,302,310,-8,-,1999-09-15
117,1,Malaysia,301,307,-6,-,1999-09-15
118,1,Kazakhstan,299,300,-1,-,1999-09-15
119,4,Malta,290,274,+16,-,1999-09-15
120,2,Sudan,286,288,-2,-,1999-09-15
121,1,Mauritius,280,277,+3,-,1999-09-15
122, ,Grenada,274,274,-,-,1999-09-15
123,4,Tanzania,272,278,-6,-,1999-09-15
124, ,Bahrain,271,273,-2,-,1999-09-15
125,3,Luxembourg,269,265,+4,-,1999-09-15
126,1,Turkmenistan,268,269,-1,-,1999-09-15
127,6,Myanmar,267,274,-7,-,1999-09-15
128,5,Liechtenstein,256,228,+28,-,1999-09-15
129,3,Fiji,253,267,-14,-,1999-09-15
130,5,Eswatini,253,221,+32,-,1999-09-15
131,2,Tajikistan,252,253,-1,-,1999-09-15
132,1,Burundi,237,239,-2,-,1999-09-15
133,1,Madagascar,232,234,-2,-,1999-09-15
134,4,Tahiti,228,242,-14,-,1999-09-15
135,1,Benin,223,228,-5,-,1999-09-15
136, ,St. Kitts and Nevis,219,220,-1,-,1999-09-15
137, ,St. Vincent and the Grenadines,211,214,-3,-,1999-09-15
138,18,Libya,206,149,+57,-,1999-09-15
139,1,Ethiopia,201,205,-4,-,1999-09-15
140,1,Hong Kong,201,206,-5,-,1999-09-15
141,3,Solomon Islands,197,209,-12,-,1999-09-15
142,1,Panama,193,197,-4,-,1999-09-15
143, ,San Marino,187,184,+3,-,1999-09-15
144,2,Sri Lanka,184,187,-3,-,1999-09-15
145, ,Dominica,181,183,-2,-,1999-09-15
146,2,St. Lucia,181,183,-2,-,1999-09-15
147,1,Gambia,178,182,-4,-,1999-09-15
148,7,Andorra,177,152,+25,-,1999-09-15
149,2,Bangladesh,177,178,-1,-,1999-09-15
150,2,Antigua and Barbuda,176,176,-,-,1999-09-15
151,2,Lesotho,173,174,-1,-,1999-09-15
152,2,Yemen,166,170,-4,-,1999-09-15
153,1,Dominican Republic,165,165,-,-,1999-09-15
154,3,Laos,165,168,-3,-,1999-09-15
155,2,Mauritania,162,166,-4,-,1999-09-15
156,4,Niger,161,167,-6,-,1999-09-15
157,1,Rwanda,151,147,+4,-,1999-09-15
158,1,Cayman Islands,149,149,-,-,1999-09-15
159, ,Kyrgyz Republic,143,145,-2,-,1999-09-15
160,1,Maldives,141,140,+1,-,1999-09-15
161,1,Suriname,141,142,-1,-,1999-09-15
162,1,Botswana,135,136,-1,-,1999-09-15
163,1,Korea DPR,135,137,-2,-,1999-09-15
164,1,Bermuda,133,132,+1,-,1999-09-15
165,1,Nepal,133,133,-,-,1999-09-15
166, ,British Virgin Islands,132,130,+2,-,1999-09-15
168, ,Eritrea,114,117,-3,-,1999-09-15
169,22,Palestine,113,26,+87,-,1999-09-15
170,1,Guinea-Bissau,107,111,-4,-,1999-09-15
171,1,Guyana,107,107,-,-,1999-09-15
172,1,Cambodia,104,104,-,-,1999-09-15
173,1,Chinese Taipei,98,100,-2,-,1999-09-15
174,1,Macau,92,94,-2,-,1999-09-15
175, ,Cape Verde Islands,88,90,-2,-,1999-09-15
176,2,Tonga,86,91,-5,-,1999-09-15
177,1,Samoa,85,89,-4,-,1999-09-15
178, ,Cook Islands,78,82,-4,-,1999-09-15
179,2,Papua New Guinea,78,83,-5,-,1999-09-15
180,1,Philippines,77,79,-2,-,1999-09-15
181,1,Pakistan,75,76,-1,-,1999-09-15
182,1,Vanuatu,67,71,-4,-,1999-09-15
183,1,Puerto Rico,64,66,-2,-,1999-09-15
184, ,Brunei Darussalam,58,57,+1,-,1999-09-15
185,2,Chad,57,58,-1,-,1999-09-15
186, ,Aruba,48,48,-,-,1999-09-15
187,1,Bahamas,47,47,-,-,1999-09-15
188,1,Belize,47,47,-,-,1999-09-15
189,4,Seychelles,47,50,-3,-,1999-09-15
190,1,Nicaragua,41,42,-1,-,1999-09-15
191,1,US Virgin Islands,32,32,-,-,1999-09-15
192, ,Djibouti,21,22,-1,-,1999-09-15
193, ,Turks and Caicos Islands,19,19,-,-,1999-09-15
194, ,Equatorial Guinea,16,16,-,-,1999-09-15
195, ,Sao Tome e Principe,15,15,-,-,1999-09-15
196, ,Somalia,14,14,-,-,1999-09-15
197, ,Central African Republic,8,8,-,-,1999-09-15
198,1,Mongolia,6,6,-,-,1999-09-15
199,1,American Samoa,6,6,-,-,1999-09-15
200, ,Guam,4,4,-,-,1999-09-15
201, ,Anguilla,3,3,-,-,1999-09-15
202, ,Montserrat,3,3,-,-,1999-09-15
