,Nation,이름,소속/국가,나이,Eng_Nation,Name,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14
0,스페인,alexremiro,Real Sociedad,30.0,Spain,pabloperezrico,23.0,64.0,63.0,63.0,47.0,60.0,64.0,75.0,66.0,52.0,38.0,66.0,9.33,53.0,59.0,50.0
1,스페인,davidraya,Arsenal,30.0,Spain,davidrayamartin,29.0,87.0,43.0,19.0,68.0,84.0,12.0,64.0,31.0,38.0,65.0,59.0,86.0,64.5,18.33,19.0
2,스페인,unaisimon,Athletic Club,28.0,Spain,unaisimonmendibil,28.0,85.0,16.0,12.0,40.0,82.0,16.0,48.0,44.0,76.0,57.0,50.0,84.33,36.0,13.67,14.0
3,스페인,danielcarvajal,Real Madrid,33.0,Spain,danielolmocarvajal,27.0,85.0,87.0,87.0,82.0,86.0,78.0,78.0,65.0,54.0,79.0,69.0,12.67,84.0,48.0,80.0
4,스페인,danielvivian,Athletic Club,26.0,Spain,danielvivianmoreno,25.0,84.0,76.0,70.0,72.0,84.0,46.0,76.0,77.0,83.0,62.0,81.0,9.0,77.0,83.67,52.0
5,스페인,deanhuijsen,Real Madrid,20.0,Spain,deandonnyhuijsen,20.0,82.0,82.0,76.0,78.0,81.0,50.0,68.0,68.0,78.0,71.0,74.0,11.33,84.0,82.0,44.0
6,스페인,marccucurella,Chelsea,27.0,Spain,marccucurellasaseta,26.0,84.0,80.0,78.0,79.0,84.0,81.0,77.0,89.0,70.0,73.0,74.0,11.33,80.5,83.0,61.0
7,스페인,paucubarsi,Barcelona,18.0,Spain,paucubarsiparedes,18.0,82.0,82.0,78.0,80.0,82.0,31.0,67.0,68.0,77.0,51.0,73.0,10.33,85.5,83.33,41.0
8,스페인,pedroporro,Tottenham Hotspur,26.0,Spain,pedrobigasrigo,34.0,74.0,67.0,64.0,69.0,69.0,67.0,57.0,72.0,82.0,62.0,57.0,13.0,72.0,73.33,49.0
9,스페인,robinlenormand,Atletico Madrid,28.0,Spain,robinlenormand,28.0,83.0,74.0,55.0,73.0,83.0,35.0,60.0,70.0,86.0,45.0,69.0,11.33,77.5,84.0,22.0
10,스페인,aleixgarcia,Bayer Leverkusen,28.0,Spain,martivilagarcia,26.0,65.0,63.0,61.0,53.0,63.0,63.0,68.0,74.0,58.0,46.0,63.0,9.33,62.5,61.67,37.0
11,스페인,alejandrogrimaldo,Bayer Leverkusen,30.0,Spain,alejandrogarciaoyon,22.0,62.0,66.0,67.0,50.0,58.0,45.0,74.0,52.0,37.0,64.0,72.0,10.33,58.0,19.33,63.0
12,스페인,daniolmo,Barcelona,27.0,Spain,adrianlisolahoz,20.0,69.0,66.0,75.0,60.0,53.0,69.0,80.0,73.0,75.0,72.0,80.0,6.33,57.5,30.33,68.0
13,스페인,fabianruiz,Paris Saint-Germain,29.0,Spain,fabianruizpena,29.0,85.0,86.0,82.0,82.0,85.0,72.0,61.0,84.0,67.0,78.0,61.0,14.0,84.0,75.0,76.0
14,스페인,ferminlopez,Barcelona,22.0,Spain,ferminlopezmarin,22.0,80.0,82.0,82.0,78.0,76.0,64.0,76.0,71.0,44.0,70.0,73.0,7.33,79.5,59.0,79.0
15,스페인,gavi,Barcelona,21.0,Spain,yoellagoamil,21.0,72.0,65.0,48.0,68.0,71.0,49.0,56.0,64.0,75.0,38.0,66.0,7.67,65.0,72.33,25.0
16,스페인,martinzubimendi,Arsenal,26.0,Spain,martinzubimendiibanez,26.0,83.0,83.0,77.0,83.0,84.0,70.0,67.0,85.0,67.0,65.0,66.0,11.33,83.0,80.67,69.0
17,스페인,mikelmerino,Arsenal,29.0,Spain,mikelmerinozazon,29.0,83.0,84.0,82.0,81.0,84.0,77.0,64.0,82.0,78.0,85.0,63.0,12.0,82.0,78.67,80.0
18,스페인,pedri,Barcelona,22.0,Spain,miguelberry,27.0,64.0,63.0,66.0,60.0,64.0,32.0,68.0,63.0,77.0,70.0,69.0,12.67,48.0,23.0,61.0
19,스페인,rodri,Manchester City,29.0,Spain,marcguiupaz,19.0,71.0,70.0,68.0,70.0,70.0,45.0,73.0,66.0,76.0,75.0,78.0,9.67,55.0,31.33,73.0
20,스페인,yeremipino,Crystal Palace,22.0,Spain,peremillapena,32.0,71.0,72.0,72.0,65.0,70.0,72.0,70.0,79.0,63.0,75.0,73.0,12.67,69.5,44.33,70.0
21,스페인,alvaromorata,Como,32.0,Spain,alvaromedranjust,31.0,77.0,79.0,75.0,80.0,76.0,77.0,56.0,78.0,77.0,75.0,59.0,11.67,81.0,62.33,67.0
22,스페인,ferrantorres,Barcelona,25.0,Spain,ferrantorresgarcia,25.0,83.0,83.0,84.0,82.0,81.0,81.0,86.0,72.0,69.0,79.0,80.0,13.0,79.5,29.0,84.0
23,스페인,jesusrodriguez,Como,19.0,Spain,jeserodriguezruiz,32.0,68.0,70.0,71.0,69.0,60.0,62.0,70.0,66.0,70.0,75.0,70.0,13.67,66.0,17.33,69.0
24,스페인,jorgedefrutos,Rayo Vallecano,28.0,Spain,jordialbaramos,36.0,78.0,80.0,79.0,78.0,76.0,79.0,84.0,84.0,58.0,64.0,81.0,10.67,79.5,69.0,73.0
25,스페인,lamineyamal,Barcelona,18.0,Spain,yoellagoamil,21.0,72.0,65.0,48.0,68.0,71.0,49.0,56.0,64.0,75.0,38.0,66.0,7.67,65.0,72.33,25.0
26,스페인,mikeloyarzabal,Real Sociedad,28.0,Spain,mikeloyarzabalugarte,28.0,82.0,84.0,83.0,83.0,82.0,80.0,78.0,79.0,57.0,84.0,76.0,11.33,79.5,39.0,83.0
27,스페인,nicowilliams,Athletic Club,23.0,Spain,oscargiloses,30.0,66.0,63.0,57.0,64.0,62.0,48.0,51.0,72.0,68.0,55.0,52.0,7.67,64.5,65.33,46.0
28,프랑스,bricesamba,Rennes,31.0,France,bricemaubleu,35.0,70.0,14.0,19.0,44.0,67.0,12.0,40.0,25.0,62.0,50.0,39.0,70.0,35.5,10.33,13.0
29,프랑스,lucaschevalier,Paris Saint-Germain,23.0,France,lucaschevalier,23.0,83.0,17.0,14.0,45.0,80.0,12.0,52.0,41.0,53.0,55.0,46.0,83.33,36.0,10.33,9.0
30,프랑스,mikemaignan,Milan,30.0,France,aminenaifi,25.0,62.0,67.0,68.0,56.0,58.0,58.0,80.0,55.0,49.0,65.0,80.0,8.33,58.0,31.33,64.0
