,Nation,Eng_Nation,Name,Club,Position,Age,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14,Position_Class
0,가나,Ghana,Lawrence Ati Zigi,FC St.Gallen 1879,GK,28,73,24,11,26,71,14,45,32,75,50,33,73.0,23.5,16.33,18,GK
1,가나,Ghana,Richard Ofori Antwi,,GK,31,71,38,28,56,65,20,39,30,72,58,47,70.0,42.0,22.33,18,GK
2,가나,Ghana,Joseph Tetteh Anang,St Patrick's Athletic FC,GK,25,67,10,13,57,57,13,34,39,55,50,32,67.0,53.5,11.33,6,GK
3,가나,Ghana,Khalid Abdul Mumin Suleman,Rayo Vallecano,CB,27,77,72,68,65,76,47,75,71,76,66,77,11.0,71.0,78.0,44,DF
4,가나,Ghana,Alexander Kwabena Baidoo Djiku,,CB,30,77,72,65,77,73,63,73,76,80,64,73,10.67,73.0,76.67,34,DF
5,가나,Ghana,Mohamed Salisu Abdul Karim,AS Monaco,CB,26,76,62,47,68,74,40,55,67,87,60,62,7.67,64.5,76.0,30,DF
6,가나,Ghana,Abdul Rahman Baba,PAOK,LB,30,76,76,74,71,74,71,74,81,77,70,80,11.0,69.5,71.67,69,DF
7,가나,Ghana,Joseph Aidoo,RC Celta,CB,29,75,58,35,63,73,34,66,65,86,50,72,10.0,59.5,73.33,18,DF
8,가나,Ghana,Alidu Seidu,Stade Rennais FC,CB,25,74,72,69,73,75,66,64,51,70,62,58,10.67,64.5,75.33,35,DF
9,가나,Ghana,Gideon Mensah,AJ Auxerre,LB,26,74,71,72,63,70,71,77,79,57,67,76,8.67,67.0,70.0,54,DF
10,가나,Ghana,Jeffrey Schlupp,Norwich City,LB,32,73,73,73,65,74,66,74,73,74,79,77,9.33,70.5,70.33,70,DF
11,가나,Ghana,Tariq Kwame Nii-Lante Lamptey,Fiorentina,RB,24,73,71,76,69,71,73,89,61,34,48,80,11.0,67.0,70.67,47,DF
12,가나,Ghana,Thomas Teye Partey,Villarreal CF,CDM,32,83,81,80,85,80,74,53,76,84,85,63,9.0,84.5,80.67,66,MF
13,가나,Ghana,Iñaki Williams Arthuer,Athletic Club,RM,31,83,80,83,78,83,78,93,88,84,86,94,12.33,70.5,42.67,82,MF
