Year,Nation,이름,포지션,소속/국가,나이,키,가치
2026,스페인,Alex Remiro,골키퍼,Real Sociedad,30.0,192.0,€1729.1만
2026,스페인,David Raya,골키퍼,Arsenal,30.0,183.0,€4088.5만
2026,스페인,Unai Simon,골키퍼,Athletic Club,28.0,190.0,€3147.3만
2026,스페인,Daniel Carvajal,수비수,Real Madrid,33.0,173.0,€521.3만
2026,스페인,Daniel Vivian,수비수,Athletic Club,26.0,183.0,€4406.1만
2026,스페인,Dean Huijsen,수비수,Real Madrid,20.0,195.0,€6451.7만
2026,스페인,Marc Cucurella,수비수,Chelsea,27.0,177.0,€4700.3만
2026,스페인,Pau Cubarsi,수비수,Barcelona,18.0,184.0,€1.3억
2026,스페인,Pedro Porro,수비수,Tottenham Hotspur,26.0,176.0,€4828.4만
2026,스페인,Robin Le Normand,수비수,Atletico Madrid,28.0,187.0,€3996.2만
2026,스페인,Aleix Garcia,미드필더,Bayer Leverkusen,28.0,173.0,€2124만
2026,스페인,Alejandro Grimaldo,미드필더,Bayer Leverkusen,30.0,171.0,€2847.6만
2026,스페인,Dani Olmo,미드필더,Barcelona,27.0,180.0,€5553만
2026,스페인,Fabián Ruiz,미드필더,Paris Saint-Germain,29.0,189.0,€2818.1만
2026,스페인,Fermin Lopez,미드필더,Barcelona,22.0,176.0,€5705.9만
2026,스페인,Gavi,미드필더,Barcelona,21.0,173.0,€6586.3만
2026,스페인,Martin Zubimendi,미드필더,Arsenal,26.0,180.0,€6631.3만
2026,스페인,Mikel Merino,미드필더,Arsenal,29.0,187.0,€3955.9만
2026,스페인,Pedri,미드필더,Barcelona,22.0,174.0,€1.4억
2026,스페인,Rodri,미드필더,Manchester City,29.0,190.0,€9192.3만
2026,스페인,Yéremi Pino,미드필더,Crystal Palace,22.0,172.0,€3440.6만
2026,스페인,Álvaro Morata,공격수,Como,32.0,189.0,€1005.3만
2026,스페인,Ferran Torres,공격수,Barcelona,25.0,184.0,€3649.1만
2026,스페인,Jesus Rodriguez,공격수,Como,19.0,188.0,€3300만
2026,스페인,Jorge de Frutos,공격수,Rayo Vallecano,28.0,173.0,€402.7만
2026,스페인,Lamine Yamal,공격수,Barcelona,18.0,180.0,€1.8억
2026,스페인,Mikel Oyarzabal,공격수,Real Sociedad,28.0,180.0,€4105만
2026,스페인,Nico Williams,공격수,Athletic Club,23.0,181.0,€7289.1만
2026,프랑스,Brice Samba,골키퍼,Rennes,31.0,186.0,€1340.9만
2026,프랑스,Lucas Chevalier,골키퍼,Paris Saint-Germain,23.0,189.0,€3791.4만
2026,프랑스,Mike Maignan,골키퍼,Milan,30.0,191.0,€1548.5만
2026,프랑스,Benjamin Pavard,수비수,Marseille,29.0,186.0,€2415.9만
2026,프랑스,Dayot Upamecano,수비수,Bayern München,26.0,185.0,€3382.4만
2026,프랑스,Ibrahima Konaté,수비수,Liverpool,26.0,192.0,€4046.7만
2026,프랑스,Jules Koundé,수비수,Barcelona,26.0,180.0,€5692.6만
2026,프랑스,Lucas Digne,수비수,Aston Villa,32.0,178.0,€1405만
2026,프랑스,Lucas Hernández,수비수,Paris Saint-Germain,29.0,183.0,€2451.1만
2026,프랑스,Malo Gusto,수비수,Chelsea,22.0,179.0,€3066.9만
2026,프랑스,Theo Hernández,수비수,Al Hilal,27.0,184.0,€3671.5만
2026,프랑스,Adrien Rabiot,미드필더,Milan,30.0,191.0,€1460.9만
2026,프랑스,Aurélien Tchouaméni,미드필더,Real Madrid,25.0,185.0,€7587.1만
2026,프랑스,Khéphren Thuram-Ulien,미드필더,Juventus,24.0,191.0,€4083.8만
2026,프랑스,Kouadio Koné,미드필더,Roma,24.0,180.0,€4321.6만
2026,프랑스,Bradley Barcola,공격수,Paris Saint-Germain,23.0,182.0,€7150.6만
2026,프랑스,Désiré Doué,공격수,Paris Saint-Germain,20.0,178.0,€1.1억
2026,프랑스,Hugo Ekitike,공격수,Liverpool,23.0,190.0,€7527.1만
2026,프랑스,Kingsley Coman,공격수,Al Nassr FC,29.0,181.0,€3031.8만
2026,프랑스,Kylian Mbappé,공격수,Real Madrid,26.0,178.0,€1.5억
2026,프랑스,Maghnes Akliouche,공격수,Monaco,23.0,175.0,€4491.5만
2026,프랑스,Marcus Thuram,공격수,Inter,28.0,188.0,€6486.1만
2026,프랑스,Michael Olise,공격수,Bayern München,23.0,184.0,€7904.4만
2026,프랑스,Ousmane Dembélé,공격수,Paris Saint-Germain,28.0,178.0,€9526.5만
2026,아르헨티나,Emiliano Martinez,골키퍼,Aston Villa,33.0,195.0,€1885.2만
2026,아르헨티나,Geronimo Rulli,골키퍼,Marseille,33.0,189.0,€376.7만
2026,아르헨티나,Walter Benitez,골키퍼,Crystal Palace,32.0,191.0,€590.8만
2026,아르헨티나,Cristian Romero,수비수,Tottenham Hotspur,27.0,185.0,€5035.9만
2026,아르헨티나,Facundo Medina,수비수,Marseille,26.0,184.0,€2534.9만
