년도,순위,팀,영문국가명,경기,승,무,패,득점,실점,득실차,승점,비고,예선_승률,예선_골득실률
2002,1,브라질,Brazil,7,7,0,0,18,4,14,21,우승,0.46,2.352112676056338
2002,2,독일,Germany,7,5,1,1,14,3,11,16,준우승,0.55,1.817073170731708
2002,3,터키,Turkey,7,4,1,2,10,6,4,13,3위,0.46,1.4576271186440677
2002,4,대한민국,South Korea,7,3,2,2,8,6,2,11,4위,0.48,2.216666666666667
2002,5,스페인,Spain,5,3,2,0,10,5,5,11,8강,0.65,3.227272727272727
2002,6,잉글랜드,England,5,2,2,1,6,3,3,8,8강,0.47,1.836065573770492
2002,7,세네갈,Senegal,5,2,2,1,7,6,1,8,8강,0.5,1.9433962264150944
2002,8,미국,United States,5,2,1,2,7,7,0,7,8강,0.57,2.388888888888889
2002,9,일본,Japan,4,2,1,1,5,3,2,7,16강,0.46,1.7580645161290325
2002,10,덴마크,Denmark,4,2,1,1,5,5,0,7,16강,0.52,1.6507936507936507
2002,11,멕시코,Mexico,4,2,1,1,4,4,0,7,16강,0.54,2.074074074074074
2002,12,아일랜드,Republic of Ireland,4,1,3,0,6,3,3,6,16강,0.56,2.225
2002,13,스웨덴,Sweden,4,1,2,1,5,5,0,5,16강,0.48,2.235294117647059
2002,14,벨기에,Belgium,4,1,2,1,6,7,-1,5,16강,0.42,1.289855072463768
2002,15,이탈리아,Italy,4,1,1,2,5,5,0,4,16강,0.52,1.9787234042553192
2002,16,파라과이,Paraguay,4,1,1,2,6,7,-1,4,16강,0.43,1.0987654320987654
2002,17,남아프리카 공화국,South Africa,3,1,1,1,5,5,0,4,조별리그,0.46,1.5285714285714285
2002,18,아르헨티나,Argentina,3,1,1,1,2,2,0,4,조별리그,0.61,2.1129032258064515
2002,19,코스타리카,Costa Rica,3,1,1,1,5,6,-1,4,조별리그,0.4,1.3548387096774193
2002,20,카메룬,Cameroon,3,1,1,1,2,3,-1,4,조별리그,0.4,1.880952380952381
2002,21,포르투갈,Portugal,3,1,0,2,6,4,2,3,조별리그,0.59,2.864406779661017
2002,22,러시아,Russia,3,1,0,2,4,4,0,3,조별리그,0.47,1.5737704918032789
2002,23,크로아티아,Croatia,3,1,0,2,2,3,-1,3,조별리그,0.43,1.4259259259259258
2002,24,에콰도르,Ecuador,3,1,0,2,2,4,-2,3,조별리그,0.38,0.9183673469387756
2002,25,폴란드,Poland,3,1,0,2,3,7,-4,3,조별리그,0.46,1.4931506849315068
2002,26,우루과이,Uruguay,3,0,2,1,4,5,-1,2,조별리그,0.43,1.0947368421052632
2002,27,나이지리아,Nigeria,3,0,1,2,1,3,-2,1,조별리그,0.51,1.8793103448275863
2002,28,프랑스,France,3,0,1,2,0,3,-3,1,조별리그,0.63,3.4
2002,29,튀니지,Tunisia,3,0,1,2,1,5,-4,1,조별리그,0.45,1.6764705882352942
2002,30,슬로베니아,Slovenia,3,0,0,3,2,7,-5,0,조별리그,0.46,1.1830985915492958
2002,31,중국,China PR,3,0,0,3,0,9,-9,0,조별리그,0.55,2.754716981132076
2002,32,사우디아라비아,Saudi Arabia,3,0,0,3,0,12,-12,0,조별리그,0.57,2.7666666666666666
2006,1,이탈리아,Italy,7,5,2,0,12,2,10,17,우승,0.59,2.0
2006,2,프랑스,France,7,4,3,0,9,3,6,15,준우승,0.59,2.813953488372093
2006,3,독일,Germany,7,5,1,1,14,6,8,16,3위,0.6,2.24
2006,4,포르투갈,Portugal,7,4,1,2,7,5,2,13,4위,0.55,2.272727272727273
2006,5,브라질,Brazil,5,4,0,1,10,2,8,12,8강,0.44,2.7241379310344827
2006,6,아르헨티나,Argentina,5,3,2,0,11,3,8,11,8강,0.51,1.8405797101449275
2006,7,잉글랜드,England,5,3,2,0,6,2,4,11,8강,0.61,2.327586206896552
2006,8,우크라이나,Ukraine,5,2,1,2,5,7,-2,7,8강,0.44,1.5918367346938775
2006,9,스페인,Spain,4,3,0,1,9,4,5,9,16강,0.68,3.6666666666666665
2006,10,스위스,Switzerland,4,2,2,0,4,0,4,8,16강,0.47,1.2727272727272727
2006,11,네덜란드,Netherlands,4,2,1,1,3,2,1,7,16강,0.58,2.7115384615384617
2006,12,에콰도르,Ecuador,4,2,0,2,5,4,1,6,16강,0.4,0.8166666666666667
2006,13,가나,Ghana,4,2,0,2,4,6,-2,6,16강,0.48,1.5901639344262295
2006,14,스웨덴,Sweden,4,1,2,1,3,4,-1,5,16강,0.45,1.6712328767123288
2006,15,멕시코,Mexico,4,1,1,2,5,5,0,4,16강,0.51,2.1123595505617976
2006,16,호주,Australia,4,1,1,2,5,6,-1,4,16강,0.54,2.604651162790698
2006,17,대한민국,South Korea,3,1,1,1,3,4,-1,4,조별리그,0.45,2.164179104477612
2006,18,파라과이,Paraguay,3,1,0,2,2,2,0,3,조별리그,0.39,1.0740740740740742
2006,19,코트디부아르,Ivory Coast,3,1,0,2,5,6,-1,3,조별리그,0.53,2.12280701754386
2006,20,체코,Czech Republic,3,1,0,2,3,4,-1,3,조별리그,0.63,2.56140350877193
2006,21,폴란드,Poland,3,1,0,2,2,4,-2,3,조별리그,0.52,1.7386363636363635
2006,22,크로아티아,Croatia,3,0,2,1,2,3,-1,2,조별리그,0.61,1.9230769230769231
2006,23,앙골라,Angola,3,0,2,1,1,2,-1,2,조별리그,0.39,1.25
2006,24,튀니지,Tunisia,3,0,1,2,3,6,-3,1,조별리그,0.56,1.9655172413793105
2006,25,미국,United States,3,0,1,2,2,6,-4,1,조별리그,0.66,2.672131147540984
2006,26,이란,Iran,3,0,1,2,2,6,-4,1,조별리그,0.59,2.569230769230769
2006,27,트리니다드 토바고,Trinidad and Tobago,3,0,1,2,0,4,-4,1,조별리그,0.43,1.048
2006,28,사우디아라비아,Saudi Arabia,3,0,1,2,2,7,-5,1,조별리그,0.58,2.2051282051282053
2006,29,일본,Japan,3,0,1,2,2,7,-5,1,조별리그,0.64,2.2535211267605635
2006,30,토고,Togo,3,0,0,3,1,6,-5,0,조별리그,0.47,1.3148148148148149
2006,31,코스타리카,Costa Rica,3,0,0,3,3,9,-6,0,조별리그,0.35,1.203883495145631
2006,32,세르비아 몬테네그로,Montenegro,3,0,0,3,2,10,-8,0,조별리그,0.42,1.1176470588235294
2010,1,스페인,Spain,7,6,0,1,8,2,6,18,우승,0.75,3.9574468085106393
2010,2,네덜란드,Netherlands,7,6,0,1,12,6,6,18,준우승,0.64,2.719298245614035
2010,3,독일,Germany,7,5,0,2,16,5,11,15,3위,0.63,2.3421052631578947
2010,4,우루과이,Uruguay,7,3,2,2,11,8,3,11,4위,0.45,1.5
2010,5,아르헨티나,Argentina,5,4,0,1,10,6,4,12,8강,0.51,1.96
2010,6,브라질,Brazil,5,3,1,1,9,4,5,10,8강,0.52,3.0816326530612246
