순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
1,스페인,7,6,0,1,8,2,6,18,우승
2,네덜란드,7,6,0,1,12,6,6,18,준우승
3,독일,7,5,0,2,16,5,11,15,3위
4,우루과이,7,3,2,2,11,8,3,11,4위
5,아르헨티나,5,4,0,1,10,6,4,12,8강
6,브라질,5,3,1,1,9,4,5,10,8강
7,가나,5,2,2,1,5,4,1,8,8강
8,파라과이,5,1,3,1,3,2,1,6,8강
9,일본,4,2,1,1,4,2,2,7,16강
10,칠레,4,2,0,2,3,5,-2,6,16강
11,포르투갈,4,1,2,1,7,1,6,5,16강
12,미국,4,1,2,1,5,5,0,5,16강
13,잉글랜드,4,1,2,1,3,5,-2,5,16강
14,멕시코,4,1,1,2,4,5,-1,4,16강
15,대한민국,4,1,1,2,6,8,-2,4,16강
16,슬로바키아,4,1,1,2,5,7,-2,4,16강
17,코트디부아르,3,1,1,1,4,3,1,4,조별리그
18,슬로베니아,3,1,1,1,3,3,0,4,조별리그
19,스위스,3,1,1,1,1,1,0,4,조별리그
20,남아프리카 공화국,3,1,1,1,3,5,-2,4,조별리그
21,호주,3,1,1,1,3,6,-3,4,조별리그
22,뉴질랜드,3,0,3,0,2,2,0,3,조별리그
23,세르비아,3,1,0,2,2,3,-1,3,조별리그
24,덴마크,3,1,0,2,3,6,-3,3,조별리그
25,그리스,3,1,0,2,2,5,-3,3,조별리그
26,이탈리아,3,0,2,1,4,5,-1,2,조별리그
27,나이지리아,3,0,1,2,3,5,-2,1,조별리그
28,알제리,3,0,1,2,0,2,-2,1,조별리그
29,프랑스,3,0,1,2,1,4,-3,1,조별리그
30,온두라스,3,0,1,2,0,3,-3,1,조별리그
31,카메룬,3,0,0,3,2,5,-3,0,조별리그
32,북한,3,0,0,3,1,12,-11,0,조별리그
