wc_year,country,home_goals,home_conceded,away_goals,away_conceded,total_goals,total_conceded,home_gd_ratio,away_gd_ratio,total_gd_ratio
2026,Algeria,29,9,29,12,58,21,3.2222222222222223,2.4166666666666665,2.761904761904762
2026,Greece,34,13,17,7,51,20,2.6153846153846154,2.4285714285714284,2.55
2026,Mexico,12,2,59,42,71,44,6.0,1.4047619047619047,1.6136363636363635
2026,Malawi,9,15,12,16,21,31,0.6,0.75,0.6774193548387096
2026,Eswatini,0,0,14,31,14,31,,0.45161290322580644,0.45161290322580644
2026,Botswana,12,14,8,16,20,30,0.8571428571428571,0.5,0.6666666666666666
2026,Kuwait,8,11,28,32,36,43,0.7272727272727273,0.875,0.8372093023255814
2026,France,38,9,30,18,68,27,4.222222222222222,1.6666666666666667,2.5185185185185186
2026,Liberia,4,11,12,19,16,30,0.36363636363636365,0.631578947368421,0.5333333333333333
2026,Nigeria,14,4,25,18,39,22,3.5,1.3888888888888888,1.7727272727272727
2026,United Arab Emirates,25,7,25,12,50,19,3.5714285714285716,2.0833333333333335,2.6315789473684212
2026,Ivory Coast,37,13,11,7,48,20,2.8461538461538463,1.5714285714285714,2.4
2026,Thailand,26,14,34,39,60,53,1.8571428571428572,0.8717948717948718,1.1320754716981132
2026,Colombia,16,7,46,22,62,29,2.2857142857142856,2.090909090909091,2.1379310344827585
2026,Indonesia,29,15,23,47,52,62,1.9333333333333333,0.48936170212765956,0.8387096774193549
2026,Iran,26,5,48,19,74,24,5.2,2.526315789473684,3.0833333333333335
2026,United States,80,44,9,5,89,49,1.8181818181818181,1.8,1.816326530612245
2026,Costa Rica,18,6,42,41,60,47,3.0,1.024390243902439,1.2765957446808511
2026,South Korea,30,11,41,15,71,26,2.727272727272727,2.7333333333333334,2.730769230769231
2026,Malta,10,15,5,31,15,46,0.6666666666666666,0.16129032258064516,0.32608695652173914
2026,Uganda,12,2,14,24,26,26,6.0,0.5833333333333334,1.0
2026,Togo,9,11,10,15,19,26,0.8181818181818182,0.6666666666666666,0.7307692307692307
2026,Bermuda,17,18,12,23,29,41,0.9444444444444444,0.5217391304347826,0.7073170731707317
2026,Egypt,25,4,25,10,50,14,6.25,2.5,3.5714285714285716
2026,Iraq,13,6,23,16,36,22,2.1666666666666665,1.4375,1.6363636363636365
2026,Belgium,32,8,30,18,62,26,4.0,1.6666666666666667,2.3846153846153846
2026,Gambia,0,0,32,33,32,33,,0.9696969696969697,0.9696969696969697
2026,Morocco,40,4,15,7,55,11,10.0,2.142857142857143,5.0
2026,Netherlands,46,16,30,22,76,38,2.875,1.3636363636363635,2.0
2026,Spain,37,10,52,20,89,30,3.7,2.6,2.966666666666667
2026,Oman,17,9,15,19,32,28,1.8888888888888888,0.7894736842105263,1.1428571428571428
2026,Qatar,48,27,14,26,62,53,1.7777777777777777,0.5384615384615384,1.169811320754717
