wc_year,country,home_win,home_loss,home_draw,away_win,away_loss,away_draw,home_win_rate,away_win_rate,total_win_rate
2026,Algeria,8,1,2,10,2,1,0.73,0.77,0.75
2026,Greece,9,4,2,6,4,1,0.6,0.55,0.58
2026,Mexico,4,0,1,15,15,1,0.8,0.48,0.53
2026,Malawi,1,5,2,3,7,4,0.12,0.21,0.18
2026,Eswatini,0,0,0,9,7,4,,0.45,0.45
2026,Botswana,5,4,0,3,7,1,0.56,0.27,0.4
2026,Kuwait,3,5,2,7,6,7,0.3,0.35,0.33
2026,France,10,2,2,9,5,3,0.71,0.53,0.61
2026,Liberia,1,6,1,3,4,4,0.12,0.27,0.21
2026,Nigeria,4,1,3,7,5,4,0.5,0.44,0.46
2026,United Arab Emirates,9,2,4,5,5,3,0.6,0.38,0.5
2026,Ivory Coast,13,2,3,4,3,2,0.72,0.44,0.63
2026,Thailand,10,3,2,6,9,7,0.67,0.27,0.43
2026,Colombia,5,1,3,8,10,7,0.56,0.32,0.38
2026,Indonesia,9,4,7,9,8,3,0.45,0.45,0.45
2026,Iran,8,0,3,10,7,2,0.73,0.53,0.6
2026,United States,21,13,8,2,2,0,0.5,0.5,0.5
2026,Costa Rica,5,3,1,5,13,8,0.56,0.19,0.29
2026,South Korea,6,2,6,10,3,5,0.43,0.56,0.5
2026,Malta,4,5,4,2,9,1,0.31,0.17,0.24
2026,Uganda,6,1,0,8,6,1,0.86,0.53,0.64
2026,Togo,2,2,5,2,6,2,0.22,0.2,0.21
2026,Bermuda,3,3,2,3,6,1,0.38,0.3,0.33
2026,Egypt,10,1,0,6,1,4,0.91,0.55,0.73
2026,Iraq,5,1,2,8,6,1,0.62,0.53,0.57
2026,Belgium,8,2,2,7,6,5,0.67,0.39,0.5
2026,Gambia,0,0,0,6,10,3,,0.32,0.32
2026,Morocco,14,0,2,4,4,1,0.88,0.44,0.72
2026,Netherlands,9,3,3,9,4,3,0.6,0.56,0.58
2026,Spain,9,0,2,10,8,4,0.82,0.45,0.58
2026,Oman,7,3,3,6,6,3,0.54,0.4,0.46
2026,Qatar,13,4,4,4,6,3,0.62,0.31,0.5
2026,Bahrain,5,5,3,7,6,3,0.38,0.44,0.41
2026,Cameroon,7,0,1,3,6,6,0.88,0.2,0.43
2026,Senegal,6,1,2,8,5,6,0.67,0.42,0.5
2026,Mozambique,4,2,2,7,7,4,0.5,0.39,0.42
2026,Zambia,4,2,1,7,7,2,0.57,0.44,0.48
2026,Lesotho,0,0,0,9,11,5,,0.36,0.36
2026,Angola,4,2,3,6,7,7,0.44,0.3,0.34
2026,Jamaica,4,3,5,13,9,5,0.33,0.48,0.44
2026,Hungary,8,3,4,5,5,4,0.53,0.36,0.45
2026,Sint Maarten,0,0,0,8,8,0,,0.5,0.5
2026,Saint Kitts and Nevis,4,3,2,5,9,2,0.44,0.31,0.36
2026,Saint Martin,1,0,0,5,6,0,1.0,0.45,0.5
2026,Northern Ireland,6,3,1,4,9,3,0.6,0.25,0.38
2026,England,11,4,1,10,2,3,0.69,0.67,0.68
2026,Republic of Ireland,5,6,4,3,7,1,0.33,0.27,0.31
2026,Luxembourg,4,8,2,2,6,4,0.29,0.17,0.23
2026,Poland,11,2,3,4,6,3,0.69,0.31,0.52
2026,Russia,7,0,2,4,0,3,0.78,0.57,0.69
2026,Scotland,4,5,3,8,6,2,0.33,0.5,0.43
2026,Switzerland,6,1,6,6,5,7,0.46,0.33,0.39
2026,Austria,10,1,3,11,2,3,0.71,0.69,0.7
2026,Denmark,13,1,2,3,5,4,0.81,0.25,0.57
2026,Barbados,2,6,0,3,5,4,0.25,0.25,0.25
2026,Grenada,3,6,3,2,4,3,0.25,0.22,0.24
2026,Martinique,2,2,1,3,6,3,0.4,0.25,0.29
2026,Saint Vincent and the Grenadines,4,2,4,5,7,1,0.4,0.38,0.39
2026,Germany,11,7,4,4,3,3,0.5,0.4,0.47
2026,Israel,2,0,1,10,9,2,0.67,0.48,0.5
2026,Sweden,10,3,0,4,9,3,0.77,0.25,0.48
2026,Gabon,5,1,2,4,7,1,0.62,0.33,0.45
2026,Suriname,4,2,2,4,4,2,0.5,0.4,0.44
2026,Guadeloupe,6,2,1,8,6,1,0.67,0.53,0.58
2026,Brazil,6,1,2,6,7,5,0.67,0.33,0.44
2026,Cayman Islands,3,3,0,0,5,2,0.5,0.0,0.23
2026,Canada,4,1,1,10,8,6,0.67,0.42,0.47
2026,Dominica,0,1,2,3,7,1,0.0,0.27,0.21
2026,Saint Lucia,4,3,0,5,5,1,0.57,0.45,0.5
2026,Mauritania,3,4,2,3,10,5,0.33,0.17,0.22
2026,Zimbabwe,0,0,0,4,3,4,,0.36,0.36
2026,Guyana,2,2,0,4,11,1,0.5,0.25,0.3
2026,Wales,8,2,4,3,3,6,0.57,0.25,0.42
2026,Romania,7,2,5,7,4,5,0.5,0.44,0.47
2026,Turkey,5,2,2,11,8,3,0.56,0.5,0.52
2026,Antigua and Barbuda,0,5,2,4,5,0,0.0,0.44,0.25
2026,Curaçao,3,2,2,2,8,1,0.43,0.18,0.28
2026,Georgia,8,3,5,4,8,0,0.5,0.33,0.43
2026,Burkina Faso,0,0,1,7,13,4,0.0,0.29,0.28
2026,French Guiana,0,3,1,1,7,3,0.0,0.09,0.07
2026,Iceland,4,3,2,8,12,0,0.44,0.4,0.41
2026,Italy,7,3,2,8,6,4,0.58,0.44,0.5
2026,Liechtenstein,1,10,1,1,10,3,0.08,0.07,0.08
2026,Jordan,6,3,3,10,8,6,0.5,0.42,0.44
2026,Tunisia,9,1,1,7,3,4,0.82,0.5,0.64
2026,Norway,11,3,1,5,3,3,0.73,0.45,0.62
