wc_year,country,home_goals,home_conceded,away_goals,away_conceded,total_goals,total_conceded,home_gd_ratio,away_gd_ratio,total_gd_ratio
2002,Algeria,57,34,37,49,94,83,1.6764705882352942,0.7551020408163265,1.1325301204819278
2006,Algeria,34,25,29,41,63,66,1.36,0.7073170731707317,0.9545454545454546
2010,Algeria,40,16,25,41,65,57,2.5,0.6097560975609756,1.1403508771929824
2014,Algeria,63,10,44,39,107,49,6.3,1.1282051282051282,2.183673469387755
2018,Algeria,68,14,58,47,126,61,4.857142857142857,1.2340425531914894,2.0655737704918034
2022,Algeria,72,19,70,27,142,46,3.789473684210526,2.5925925925925926,3.0869565217391304
2002,Greece,56,34,39,40,95,74,1.6470588235294117,0.975,1.2837837837837838
2006,Greece,39,17,56,46,95,63,2.2941176470588234,1.2173913043478262,1.507936507936508
2010,Greece,46,25,49,42,95,67,1.84,1.1666666666666667,1.4179104477611941
2014,Greece,28,22,42,33,70,55,1.2727272727272727,1.2727272727272727,1.2727272727272727
2018,Greece,29,24,30,32,59,56,1.2083333333333333,0.9375,1.0535714285714286
2022,Greece,46,23,39,31,85,54,2.0,1.2580645161290323,1.5740740740740742
2002,Mexico,82,16,86,65,168,81,5.125,1.323076923076923,2.074074074074074
2006,Mexico,82,13,106,76,188,89,6.3076923076923075,1.394736842105263,2.1123595505617976
2010,Mexico,51,19,151,78,202,97,2.6842105263157894,1.935897435897436,2.082474226804124
2014,Mexico,26,8,138,79,164,87,3.25,1.7468354430379747,1.8850574712643677
2018,Mexico,29,7,122,78,151,85,4.142857142857143,1.564102564102564,1.776470588235294
2022,Mexico,31,6,132,80,163,86,5.166666666666667,1.65,1.8953488372093024
2002,Malawi,42,48,23,49,65,97,0.875,0.46938775510204084,0.6701030927835051
2006,Malawi,34,29,41,62,75,91,1.1724137931034482,0.6612903225806451,0.8241758241758241
2010,Malawi,36,19,45,61,81,80,1.894736842105263,0.7377049180327869,1.0125
2014,Malawi,23,19,38,58,61,77,1.2105263157894737,0.6551724137931034,0.7922077922077922
