순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
1,아르헨티나,7,4,2,1,15,8,7,14,우승
2,프랑스,7,5,1,1,16,8,8,16,준우승
3,크로아티아,7,2,4,1,8,7,1,10,3위
4,모로코,7,3,2,2,6,5,1,11,4위
5,네덜란드,5,3,2,0,10,4,6,11,8강
6,잉글랜드,5,3,1,1,13,4,9,10,8강
7,브라질,5,3,1,1,8,3,5,10,8강
8,포르투갈,5,3,0,2,12,6,6,9,8강
9,일본,4,2,1,1,5,4,1,7,16강
10,세네갈,4,2,0,2,5,7,-2,6,16강
11,호주,4,2,0,2,4,6,-2,6,16강
12,스위스,4,2,0,2,5,9,-4,6,16강
13,스페인,4,1,2,1,9,3,6,5,16강
14,미국,4,1,2,1,3,4,-1,5,16강
15,폴란드,4,1,1,2,3,5,-2,4,16강
16,대한민국,4,1,1,2,5,8,-3,4,16강
17,독일,3,1,1,1,6,5,1,4,조별 리그
18,에콰도르,3,1,1,1,4,3,1,4,조별 리그
19,카메룬,3,1,1,1,4,4,0,4,조별 리그
20,우루과이,3,1,1,1,2,2,0,4,조별 리그
21,튀니지,3,1,1,1,1,1,0,4,조별 리그
22,멕시코,3,1,1,1,2,3,-1,4,조별 리그
23,벨기에,3,1,1,1,1,2,-1,4,조별 리그
24,가나,3,1,0,2,5,7,-2,3,조별 리그
25,사우디아라비아,3,1,0,2,3,5,-2,3,조별 리그
26,이란,3,1,0,2,4,7,-3,3,조별 리그
27,코스타리카,3,1,0,2,3,11,-8,3,조별 리그
28,덴마크,3,0,1,2,1,3,-2,1,조별 리그
29,세르비아,3,0,1,2,5,8,-3,1,조별 리그
30,웨일스,3,0,1,2,1,6,-5,1,조별 리그
31,캐나다,3,0,0,3,2,7,-5,0,조별 리그
32,카타르,3,0,0,3,1,7,-6,0,조별 리그
