Team,Year,AvgApps
Algeria,1982,0.0
Algeria,1986,0.40909
Algeria,2010,0.0
Algeria,2014,0.17391
Angola,2006,0.0
Argentina,1958,0.0
Argentina,1962,0.04545
Argentina,1966,0.22727
Argentina,1974,0.0
Argentina,1978,0.13636
Argentina,1982,0.59091
Argentina,1986,0.13636
Argentina,1990,0.34783
Argentina,1994,0.45455
Argentina,1998,0.31818
Argentina,2002,0.73913
Argentina,2006,0.21739
Argentina,2010,0.30435
Argentina,2014,0.52174
Argentina,2018,0.65217
Argentina,2022,0.5
Australia,1974,0.0
Australia,2006,0.0
Australia,2010,0.43478
Australia,2014,0.26087
Australia,2018,0.43478
Australia,2022,0.38462
Austria,1954,0.0
Austria,1958,0.45455
Austria,1978,0.0
Austria,1982,0.40909
Austria,1990,0.04545
Austria,1998,0.27273
Belgium,1954,0.0
Belgium,1970,0.0
Belgium,1982,0.04545
Belgium,1986,0.27273
Belgium,1990,0.5
Belgium,1994,0.59091
Belgium,1998,0.59091
Belgium,2002,0.3913
Belgium,2014,0.04348
Belgium,2018,0.56522
Belgium,2022,0.92308
Bolivia,1994,0.0
Bosnia and Herzegovina,2014,0.0
Brazil,1954,0.0
Brazil,1958,0.13636
Brazil,1962,0.54545
Brazil,1966,0.59091
Brazil,1970,0.36364
Brazil,1974,0.40909
Brazil,1978,0.22727
Brazil,1982,0.5
Brazil,1986,0.45455
Brazil,1990,0.31818
Brazil,1994,0.54545
Brazil,1998,0.40909
Brazil,2002,0.26087
Brazil,2006,0.69565
Brazil,2010,0.43478
Brazil,2014,0.26087
Brazil,2018,0.26087
Brazil,2022,0.5
Bulgaria,1962,0.0
Bulgaria,1966,0.31818
Bulgaria,1970,0.54545
Bulgaria,1974,0.45455
Bulgaria,1986,0.0
Bulgaria,1994,0.04545
Bulgaria,1998,0.22727
Cameroon,1982,0.0
Cameroon,1990,0.13636
Cameroon,1994,0.54545
Cameroon,1998,0.18182
Cameroon,2002,0.65217
Cameroon,2010,0.08696
Cameroon,2014,0.52174
Cameroon,2022,0.15385
Canada,1986,0.0
Canada,2022,0.0
Chile,1962,0.0
Chile,1966,0.36364
Chile,1974,0.13636
Chile,1982,0.09091
Chile,1998,0.0
Chile,2010,0.0
Chile,2014,0.34783
China PR,2002,0.0
Colombia,1962,0.0
Colombia,1990,0.0
Colombia,1994,0.36364
Colombia,1998,0.59091
Colombia,2014,0.0
Colombia,2018,0.43478
Costa Rica,1990,0.0
Costa Rica,2002,0.0
Costa Rica,2006,0.30435
Costa Rica,2014,0.08696
Costa Rica,2018,0.56522
Costa Rica,2022,0.61538
Croatia,1998,0.13636
Croatia,2002,0.47826
Croatia,2006,0.52174
Croatia,2014,0.26087
Croatia,2018,0.52174
Croatia,2022,0.46154
Czechia,1954,0.0
Czechia,1958,0.31818
Czechia,1962,0.45455
Czechia,1970,0.04545
Czechia,1982,0.0
