Year,Nation,Eng_Nation,Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd
1998,알제리,Algeria,0.6666666666666666,5,79.0,442.0,,
1998,앙골라,Angola,0.4,1,56.0,507.0,,
1998,호주,Australia,0.6,20,64.0,490.0,,
1998,벨기에,Belgium,0.0,0,32.0,589.0,,
1998,브라질,Brazil,0.6666666666666666,8,1.0,838.0,,
1998,크로아티아,Croatia,0.6666666666666666,2,6.0,727.0,,
1998,체코,Czech Republic,0.8,5,2.0,772.0,,
1998,덴마크,Denmark,0.0,-2,16.0,661.0,,
1998,에콰도르,Ecuador,0.0,-4,60.0,497.0,,
1998,이집트,Egypt,0.0,-2,38.0,565.0,,
1998,잉글랜드,England,0.5,4,12.0,683.0,,
1998,프랑스,France,0.5,3,3.0,766.0,,
1998,독일,Germany,0.4,2,5.0,735.0,,
1998,가나,Ghana,0.75,4,47.0,543.0,,
1998,그리스,Greece,0.3333333333333333,3,37.0,568.0,,
1998,온두라스,Honduras,0.5,1,75.0,450.0,,
1998,이란,Iran,0.7777777777777778,15,50.0,534.0,,
1998,이탈리아,Italy,0.6666666666666666,4,8.0,714.0,,
1998,코트디부아르,Ivory Coast,0.25,0,48.0,541.0,,
1998,일본,Japan,0.6666666666666666,5,51.0,533.0,,
1998,멕시코,Mexico,0.5,2,10.0,709.0,,
1998,모로코,Morocco,1.0,2,21.0,620.0,,
1998,네덜란드,Netherlands,0.3333333333333333,2,14.0,668.0,,
1998,나이지리아,Nigeria,0.0,-5,76.0,450.0,,
1998,북한,North Korea,0.2,-6,163.0,135.0,,
1998,폴란드,Poland,1.0,11,29.0,595.0,,
1998,포르투갈,Portugal,0.8,7,13.0,671.0,,
1998,카타르,Qatar,0.4117647058823529,2,85.0,430.0,,
1998,러시아,Russia,0.0,-9,19.0,642.0,,
1998,사우디아라비아,Saudi Arabia,0.8181818181818182,19,39.0,565.0,,
1998,세네갈,Senegal,0.3333333333333333,-1,83.0,434.0,,
1998,세르비아,Serbia,0.25,-1,17.0,656.0,,
1998,슬로베니아,Slovenia,0.25,-1,52.0,522.0,,
1998,남아프리카 공화국,South Africa,1.0,2,31.0,591.0,,
1998,대한민국,South Korea,0.5714285714285714,6,40.0,559.0,,
1998,스페인,Spain,0.5,1,4.0,757.0,,
1998,스웨덴,Sweden,1.0,3,15.0,667.0,,
1998,스위스,Switzerland,0.0,-4,53.0,516.0,,
1998,튀니지,Tunisia,0.6666666666666666,4,30.0,593.0,,
1998,미국,United States,0.0,0,20.0,621.0,,
1998,우루과이,Uruguay,0.0,-4,41.0,557.0,,
1999,알제리,Algeria,0.5,3,79.0,442.0,,
1999,앙골라,Angola,0.5,2,56.0,507.0,,
1999,아르헨티나,Argentina,0.5,5,7.0,717.0,,
1999,벨기에,Belgium,0.2857142857142857,1,32.0,589.0,,
1999,브라질,Brazil,0.7,33,1.0,838.0,,
1999,카메룬,Cameroon,0.75,7,54.0,515.0,,
1999,캐나다,Canada,0.5,2,94.0,400.0,,
1999,칠레,Chile,0.3636363636363636,4,24.0,618.0,,
1999,콜롬비아,Colombia,0.2857142857142857,2,23.0,619.0,,
1999,코스타리카,Costa Rica,0.4615384615384615,20,67.0,474.0,,
1999,크로아티아,Croatia,0.2307692307692307,-4,6.0,727.0,,
1999,체코,Czech Republic,0.8181818181818182,18,2.0,772.0,,
1999,덴마크,Denmark,0.6363636363636364,13,16.0,661.0,,
1999,에콰도르,Ecuador,0.2307692307692307,-2,60.0,497.0,,
1999,이집트,Egypt,0.2857142857142857,-5,38.0,565.0,,
1999,잉글랜드,England,0.4,8,12.0,683.0,,
1999,프랑스,France,0.7272727272727273,11,3.0,766.0,,
