Nation,Eng_Nation,F_Rank,Year,F_Point,F_Rd,F_Pd
미국,United States,15.0,2026.0,1660.31,-4.0,83.61
멕시코,Mexico,14.33,2026.0,1661.83,3.66,31.77
캐나다,Canada,36.0,2026.0,1506.31,-30.33,149.57
아르헨티나,Argentina,1.67,2026.0,1870.25,-6.66,216.15
브라질,Brazil,4.67,2026.0,1790.41,2.0,42.83
잉글랜드,England,4.0,2026.0,1810.69,0.33,116.88
프랑스,France,2.0,2026.0,1854.53,-0.67,113.43
독일,Germany,13.33,2026.0,1678.12,-1.34,74.85
일본,Japan,18.0,2026.0,1628.42,-10.33,124.93
포르투갈,Portugal,7.0,2026.0,1753.42,1.33,96.45
대한민국,South Korea,116.0,2026.0,1168.01,2.67,-3.98
스페인,Spain,4.67,2026.0,1807.5,-2.66,158.61
호주,Australia,25.67,2026.0,1553.17,-13.33,89.17
코스타리카,Costa Rica,47.67,2026.0,1466.44,3.34,26.68
크로아티아,Croatia,9.0,2026.0,1720.54,-2.0,100.12
스위스,Switzerland,15.33,2026.0,1647.8,1.66,38.89
우루과이,Uruguay,14.33,2026.0,1667.17,6.33,24.03
벨기에,Belgium,6.33,2026.0,1766.77,5.33,-19.01
카메룬,Cameroon,48.67,2026.0,1463.18,-6.0,54.36
덴마크,Denmark,19.33,2026.0,1618.73,6.0,6.9
에콰도르,Ecuador,29.67,2026.0,1540.38,-30.66,156.02
가나,Ghana,68.33,2026.0,1367.09,18.33,-59.34
이란,Iran,20.33,2026.0,1602.26,-4.67,85.9
이탈리아,Italy,9.67,2026.0,1721.25,-1.0,77.67
네덜란드,Netherlands,7.0,2026.0,1752.42,-5.33,140.02
나이지리아,Nigeria,41.33,2026.0,1490.25,9.0,1.13
폴란드,Poland,32.0,2026.0,1522.33,10.33,-18.28
사우디아라비아,Saudi Arabia,57.33,2026.0,1422.21,-6.67,57.76
튀니지,Tunisia,37.0,2026.0,1504.37,10.33,-4.25
코트디부아르,Ivory Coast,42.33,2026.0,1476.97,-14.34,82.78
파라과이,Paraguay,48.67,2026.0,1452.36,10.34,-16.74
러시아,Russia,35.33,2026.0,1508.67,-1.67,36.86
세네갈,Senegal,19.67,2026.0,1621.04,-0.33,68.92
세르비아,Serbia,32.33,2026.0,1518.49,1.0,25.83
스웨덴,Sweden,27.67,2026.0,1530.55,9.67,-47.13
알제리,Algeria,37.67,2026.0,1498.76,3.34,16.55
칠레,Chile,47.33,2026.0,1471.46,28.33,-92.38
콜롬비아,Colombia,12.67,2026.0,1686.81,1.0,66.01
그리스,Greece,46.33,2026.0,1467.05,-6.67,56.91
온두라스,Honduras,73.0,2026.0,1333.69,9.0,-35.51
모로코,Morocco,12.67,2026.0,1680.24,-25.66,209.5
슬로베니아,Slovenia,53.33,2026.0,1443.55,-8.67,67.4
남아프리카공화국,South Africa,59.67,2026.0,1410.66,-12.0,72.79
카타르,Qatar,52.67,2026.0,1443.64,-0.66,37.36
이집트,Egypt,33.67,2026.0,1514.58,-15.66,86.04
체코,Czech Republic,,,,,
앙골라,Angola,97.0,2026.0,1239.17,-25.5,90.67
북한,North Korea,24.0,2026.0,1566.27,-13.33,95.13
노르웨이,Norway,40.33,2026.0,1489.76,-3.0,40.17
오스트리아,Austria,23.0,2026.0,1573.2,-4.67,68.93
