Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,1,Spain,1875.37,1867.09,+8.28,W W,2025-09-18
2,1,France,1870.92,1862.03,+8.89,W W,2025-09-18
3,2,Argentina,1870.32,1885.36,-15.04,L W,2025-09-18
4,,England,1820.44,1813.32,+7.12,W W,2025-09-18
5,1,Portugal,1779.55,1770.53,+9.02,W W,2025-09-18
6,1,Brazil,1761.6,1777.69,-16.09,L W,2025-09-18
7,,Netherlands,1754.17,1758.18,-4.01,W D,2025-09-18
8,,Belgium,1739.54,1736.38,+3.16,W W,2025-09-18
9,1,Croatia,1714.2,1707.51,+6.69,W W,2025-09-18
10,1,Italy,1710.06,1702.58,+7.48,W W,2025-09-18
11,1,Morocco,1706.27,1698.72,+7.55,W W W W W W W L W,2025-09-18
12,3,Germany,1704.27,1716.98,-12.71,W L,2025-09-18
13,1,Colombia,1692.1,1679.46,+12.64,W W,2025-09-18
14,1,Mexico,1688.38,1689.73,-1.35,D D,2025-09-18
15,1,Uruguay,1673.65,1670.76,+2.89,D W,2025-09-18
16,1,USA,1670.04,1671.04,-1,W L,2025-09-18
17,2,Switzerland,1648.3,1635.08,+13.22,W W,2025-09-18
18,,Senegal,1645.23,1635.1,+10.13,W W W L W D D W,2025-09-18
19,2,Japan,1640.47,1641.23,-0.76,L D W W W,2025-09-18
20,1,Denmark,1627.64,1621.24,+6.4,W D,2025-09-18
21,1,IR Iran,1622.61,1624.3,-1.69,D D W W,2025-09-18
22,,Austria,1601.86,1591.24,+10.62,W W,2025-09-18
23,,Korea Republic,1593.19,1587.08,+6.11,D W L W W,2025-09-18
24,1,Ecuador,1588.04,1570.68,+17.36,W D,2025-09-18
25,1,Australia,1583.49,1578.57,+4.92,W W,2025-09-18
26,2,Canada,1558.04,1548.94,+9.1,W W,2025-09-18
27,,Türkiye,1555.72,1553.19,+2.53,L W,2025-09-18
28,2,Ukraine,1543.06,1557.21,-14.15,D L,2025-09-18
29,1,Panama,1529.71,1545.08,-15.37,D D,2025-09-18
30,1,Wales,1529.09,1528.93,+0.16,L W,2025-09-18
31,2,Norway,1526.23,1519.42,+6.81,W W,2025-09-18
32,3,Sweden,1524.62,1545.43,-20.81,L D,2025-09-18
33,2,Russia,1521.74,1518.54,+3.2,W D,2025-09-18
34,2,Serbia,1520.9,1523.03,-2.13,L W,2025-09-18
35,1,Egypt,1519.18,1518.79,+0.39,D W,2025-09-18
36,1,Poland,1517.3,1502.4,+14.9,W D,2025-09-18
37,6,Paraguay,1501.01,1486.69,+14.32,W D,2025-09-18
38,2,Algeria,1500.74,1503.8,-3.06,D W L D D D W,2025-09-18
39,2,Czechia,1500.29,1492.4,+7.89,D W,2025-09-18
40,1,Greece,1494.72,1497.82,-3.1,L W,2025-09-18
41,3,Hungary,1492.18,1500.74,-8.56,L D,2025-09-18
42,10,Slovakia,1491.87,1466.56,+25.31,W W,2025-09-18
43,4,Scotland,1485.08,1474.68,+10.4,W D,2025-09-18
44,1,Côte d'Ivoire,1483.9,1483.45,+0.45,D W,2025-09-18
45,1,Nigeria,1483.86,1484.26,-0.4,D W W L L,2025-09-18
46,3,Tunisia,1483.02,1471.1,+11.92,W W,2025-09-18
47,7,Costa Rica,1481.13,1493.85,-12.72,D D,2025-09-18
48,6,Peru,1469.31,1489.97,-20.66,L L,2025-09-18
49,3,Venezuela,1465.02,1477.02,-12,L L,2025-09-18
50,,Slovenia,1462.96,1469.76,-6.8,L D,2025-09-18
51,3,Romania,1462.85,1474.46,-11.61,D L,2025-09-18
52,1,Cameroon,1455.42,1466.97,-11.55,L W,2025-09-18
53,,Qatar,1453.65,1459.85,-6.2,L D,2025-09-18
54,1,Uzbekistan,1453.31,1449.12,+4.19,W W D,2025-09-18
55,1,South Africa,1448.67,1443.31,+5.36,D W D D W D,2025-09-18
56,2,Mali,1445.83,1454.72,-8.89,L W,2025-09-18
57,,Chile,1441.66,1441.62,+0.04,D L,2025-09-18
58,,Iraq,1422.2,1417.04,+5.16,W W,2025-09-18
59,,Saudi Arabia,1420.65,1415.11,+5.54,D W,2025-09-18
60,1,Congo DR,1407.6,1412.1,-4.5,L W L W W L,2025-09-18
61,1,Republic of Ireland,1397.52,1412.76,-15.24,L D,2025-09-18
62,2,Jordan,1391.33,1387.79,+3.54,W D,2025-09-18
63,1,North Macedonia,1388.5,1390.79,-2.29,W L,2025-09-18
64,1,Burkina Faso,1385.37,1388.03,-2.66,D W L L W L,2025-09-18
