,name,age,year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,finishing,gk,passing,defending,mentality_penalties
0,Lionel Andrés Messi Cuccittini,27,2015,Argentina,93,96,96,,94,84,96,77,60,80,90,94,15+3,89,21,76.0
1,Cristiano Ronaldo dos Santos Aveiro,29,2015,Portugal,92,92,93,,90,83,91,89,79,94,94,95,16+3,82,31,85.0
2,Arjen Robben,30,2015,Netherlands,90,90,93,,89,80,93,78,65,86,93,85,14+3,86,26,80.0
3,Zlatan Ibrahimović,32,2015,Sweden,90,90,88,,85,76,74,78,93,93,77,91,17+3,84,41,91.0
4,Manuel Peter Neuer,28,2015,Germany,90,31,25,,89,25,58,44,83,42,61,25,87+3,42,25,37.0
5,Andrés Iniesta Luján,30,2015,Spain,89,94,92,,90,85,76,78,59,65,75,73,14+3,93,57,71.0
6,Luis Alberto Suárez Díaz,27,2015,Uruguay,89,89,90,,91,77,88,86,76,84,79,91,34+3,82,45,85.0
7,Robin van Persie,30,2015,Netherlands,88,87,84,,88,81,73,72,72,90,74,91,13+3,85,32,86.0
8,Bastian Schweinsteiger,29,2015,Germany,88,86,81,,90,81,58,86,77,86,64,76,18+2,88,80,81.0
9,Franck Bilal Ribéry,31,2015,France,88,91,92,,89,83,91,72,62,76,87,79,14+2,89,25,80.0
10,Radamel Falcao García Zárate,28,2015,Colombia,88,83,78,,89,55,80,71,74,79,75,91,14+2,69,42,87.0
11,Eden Michael Hazard,23,2015,Belgium,88,89,92,,85,78,93,74,63,79,87,83,14+2,87,27,86.0
12,Philipp Lahm,30,2015,Germany,87,85,80,,92,84,77,88,59,57,76,47,15+2,88,88,72.0
13,Sergio Ramos García,28,2015,Spain,87,83,52,,82,74,79,82,80,71,79,59,14+2,76,89,68.0
14,Thiago Emiliano da Silva,29,2015,Brazil,87,78,68,,83,60,75,80,81,78,80,38,14+2,75,91,71.0
15,David Josué Jiménez Silva,28,2015,Spain,87,91,87,,85,82,83,68,53,76,71,76,16+2,89,30,77.0
16,Gareth Frank Bale,24,2015,Wales,87,85,87,,84,84,93,90,79,87,95,81,15+2,84,65,76.0
17,Luka Modrić,28,2015,Croatia,87,92,86,,88,78,78,86,66,72,74,71,16+2,88,75,80.0
18,Robert Lewandowski,25,2015,Poland,87,87,84,,88,62,79,75,79,84,81,87,15+2,83,42,77.0
19,Xavier Hernández Creus,34,2015,Spain,86,93,80,,90,85,67,60,60,67,65,74,13+2,95,61,75.0
20,Gnégnéri Yaya Touré,31,2015,Côte d'Ivoire,86,83,81,,85,67,73,93,92,86,78,82,16+2,86,83,82.0
