,home_team,away_team,home_win,year
2521,Albania,Andorra,1,2002
2532,Albania,Azerbaijan,1,2002
3171,Albania,Cyprus,-1,2002
3745,Albania,England,-1,2002
4277,Albania,Finland,-1,2002
970,Albania,Georgia,-1,2002
2301,Albania,Georgia,1,2002
196,Albania,Germany,-1,2002
4041,Albania,Germany,-1,2002
1580,Albania,Greece,-1,2002
3344,Albania,Greece,1,2002
984,Albania,Latvia,-1,2002
2220,Albania,Latvia,-1,2002
3425,Albania,Malta,1,2002
1713,Albania,North Macedonia,1,2002
675,Albania,Northern Ireland,1,2002
1940,Albania,Norway,-1,2002
1984,Albania,Slovenia,-1,2002
172,Albania,Ukraine,-1,2002
159,Alderney,Guernsey,-1,2002
1818,Alderney,Guernsey,-1,2002
3732,Alderney,Guernsey,-1,2002
1051,Alderney,Jersey,-1,2002
2683,Alderney,Jersey,-1,2002
3987,Algeria,Angola,1,2002
578,Algeria,Benin,1,2002
3424,Algeria,Bulgaria,-1,2002
2906,Algeria,Burkina Faso,1,2002
3244,Algeria,Burkina Faso,-1,2002
4400,Algeria,Burkina Faso,1,2002
3494,Algeria,Burundi,1,2002
2798,Algeria,Cape Verde,1,2002
4193,Algeria,Egypt,-1,2002
2488,Algeria,Gabon,1,2002
4472,Algeria,Ghana,-1,2002
971,Algeria,Guinea,-1,2002
2941,Algeria,Guinea,1,2002
724,Algeria,Kenya,-1,2002
1847,Algeria,Liberia,1,2002
1345,Algeria,Libya,1,2002
560,Algeria,Mali,1,2002
3898,Algeria,Morocco,-1,2002
3533,Algeria,Namibia,1,2002
3474,Algeria,Romania,1,2002
3475,Algeria,Romania,-1,2002
3013,Algeria,Senegal,-1,2002
3628,Algeria,Slovakia,-1,2002
899,Algeria,Togo,-1,2002
2023,Algeria,Uganda,1,2002
726,Algeria,Zambia,-1,2002
3802,American Samoa,Samoa,-1,2002
3006,American Samoa,Tonga,-1,2002
3813,American Samoa,Tonga,-1,2002
2439,Andalusia,Estonia,1,2002
3941,Andalusia,Iraq,1,2002
3482,Andalusia,Morocco,1,2002
4503,Andalusia,Tunisia,-1,2002
2302,Andorra,Armenia,-1,2002
1244,Andorra,Azerbaijan,-1,2002
2540,Andorra,Azerbaijan,-1,2002
2826,Andorra,Belarus,1,2002
1181,Andorra,Brazil,-1,2002
3217,Andorra,Cyprus,-1,2002
3294,Andorra,Estonia,-1,2002
1985,Andorra,France,-1,2002
1802,Andorra,Iceland,-1,2002
3700,Andorra,Netherlands,-1,2002
4278,Andorra,Portugal,-1,2002
3746,Andorra,Republic of Ireland,-1,2002
2246,Andorra,Russia,-1,2002
1499,Andorra,Ukraine,-1,2002
3325,Angola,Algeria,-1,2002
1353,Angola,Benin,1,2002
3734,Angola,Burkina Faso,1,2002
4087,Angola,Burundi,1,2002
402,Angola,Cameroon,-1,2002
3910,Angola,Cameroon,1,2002
3122,Angola,Equatorial Guinea,1,2002
2809,Angola,Eswatini,1,2002
1684,Angola,Gabon,1,2002
486,Angola,Ghana,1,2002
3488,Angola,Lesotho,1,2002
3541,Angola,Libya,1,2002
1745,Angola,Mauritius,-1,2002
4070,Angola,Mauritius,1,2002
993,Angola,Namibia,-1,2002
2279,Angola,Namibia,1,2002
2024,Angola,South Africa,-1,2002
227,Angola,Togo,1,2002
4210,Angola,Togo,-1,2002
1124,Angola,Zambia,-1,2002
3024,Angola,Zambia,1,2002
579,Angola,Zimbabwe,1,2002
1387,Angola,Zimbabwe,1,2002
4345,Angola,Zimbabwe,-1,2002
2630,Anguilla,Bahamas,-1,2002
3570,Anguilla,Montserrat,1,2002
2787,Antigua and Barbuda,Bermuda,-1,2002
3542,Antigua and Barbuda,British Virgin Islands,-1,2002
1017,Antigua and Barbuda,Dominica,-1,2002
1300,Antigua and Barbuda,Dominica,1,2002
1781,Antigua and Barbuda,Dominica,-1,2002
2853,Antigua and Barbuda,Dominica,1,2002
3656,Antigua and Barbuda,Dominican Republic,-1,2002
546,Antigua and Barbuda,Grenada,-1,2002
1096,Antigua and Barbuda,Grenada,1,2002
2988,Antigua and Barbuda,Guatemala,-1,2002
1317,Antigua and Barbuda,Haiti,-1,2002
552,Antigua and Barbuda,Jamaica,-1,2002
809,Antigua and Barbuda,Jamaica,-1,2002
1306,Antigua and Barbuda,Martinique,1,2002
3658,Antigua and Barbuda,Saint Kitts and Nevis,-1,2002
479,Antigua and Barbuda,Saint Lucia,-1,2002
487,Antigua and Barbuda,Saint Lucia,1,2002
1081,Antigua and Barbuda,Saint Lucia,-1,2002
3618,Antigua and Barbuda,Saint Lucia,-1,2002
2868,Antigua and Barbuda,Saint Vincent and the Grenadines,1,2002
2955,Argentina,Bolivia,1,2002
1133,Argentina,Bosnia and Herzegovina,1,2002
2221,Argentina,Brazil,1,2002
4305,Argentina,Brazil,1,2002
1046,Argentina,Bulgaria,1,2002
452,Argentina,Chile,1,2002
1143,Argentina,Chile,1,2002
2691,Argentina,Chile,1,2002
843,Argentina,Colombia,-1,2002
2090,Argentina,Colombia,-1,2002
2331,Argentina,Colombia,1,2002
4023,Argentina,Colombia,1,2002
1254,Argentina,Croatia,1,2002
297,Argentina,Ecuador,1,2002
432,Argentina,Ecuador,-1,2002
2068,Argentina,Ecuador,1,2002
3137,Argentina,Ecuador,1,2002
1269,Argentina,England,-1,2002
1234,Argentina,Jamaica,1,2002
1217,Argentina,Japan,1,2002
2040,Argentina,Lithuania,-1,2002
467,Argentina,Paraguay,-1,2002
3178,Argentina,Paraguay,-1,2002
403,Argentina,Peru,1,2002
4427,Argentina,Peru,1,2002
1021,Argentina,Serbia,1,2002
1156,Argentina,South Africa,1,2002
779,Argentina,Uruguay,-1,2002
3326,Argentina,Uruguay,1,2002
572,Argentina,Venezuela,1,2002
3747,Argentina,Venezuela,1,2002
650,Armenia,Albania,1,2002
1404,Armenia,Andorra,1,2002
3992,Armenia,Belarus,-1,2002
1598,Armenia,Estonia,1,2002
2247,Armenia,France,-1,2002
2827,Armenia,Georgia,-1,2002
1500,Armenia,Iceland,-1,2002
1360,Armenia,Lebanon,1,2002
2503,Armenia,Moldova,1,2002
298,Armenia,Northern Ireland,-1,2002
4362,Armenia,Norway,-1,2002
4042,Armenia,Poland,-1,2002
1803,Armenia,Russia,-1,2002
753,Armenia,Ukraine,-1,2002
1986,Armenia,Ukraine,-1,2002
3295,Armenia,Ukraine,-1,2002
3585,Armenia,Uzbekistan,1,2002
3701,Armenia,Wales,-1,2002
2715,Aruba,Barbados,-1,2002
130,Aruba,Curaçao,1,2002
1038,Aruba,Curaçao,-1,2002
1033,Aruba,French Guiana,1,2002
323,Aruba,Jamaica,-1,2002
2646,Aruba,Puerto Rico,1,2002
1041,Aruba,Suriname,-1,2002
3806,Australia,American Samoa,1,2002
880,Australia,Brazil,-1,2002
4069,Australia,Brazil,1,2002
2565,Australia,Bulgaria,-1,2002
964,Australia,Chile,-1,2002
1476,Australia,Cook Islands,1,2002
3033,Australia,Cook Islands,1,2002
1468,Australia,Fiji,1,2002
3814,Australia,Fiji,1,2002
3988,Australia,France,1,2002
4441,Australia,France,-1,2002
858,Australia,Iran,-1,2002
999,Australia,Japan,-1,2002
3288,Australia,Kuwait,1,2002
22,Australia,New Zealand,1,2002
545,Australia,New Zealand,1,2002
1491,Australia,New Zealand,-1,2002
3061,Australia,New Zealand,1,2002
4105,Australia,New Zealand,1,2002
33,Australia,Norway,1,2002
2982,Australia,Paraguay,-1,2002
3000,Australia,Paraguay,-1,2002
3010,Australia,Paraguay,1,2002
3822,Australia,Samoa,1,2002
2547,Australia,Slovakia,-1,2002
433,Australia,Solomon Islands,1,2002
468,Australia,Solomon Islands,1,2002
27,Australia,South Korea,1,2002
988,Australia,South Korea,1,2002
3296,Australia,South Korea,-1,2002
446,Australia,Tahiti,1,2002
474,Australia,Tahiti,1,2002
1485,Australia,Tahiti,1,2002
3803,Australia,Tonga,1,2002
4466,Australia,Uruguay,1,2002
3054,Australia,Vanuatu,1,2002
754,Austria,Belarus,1,2002
4306,Austria,Bosnia and Herzegovina,1,2002
2828,Austria,Croatia,-1,2002
2321,Austria,Cyprus,1,2002
299,Austria,Estonia,1,2002
1363,Austria,France,-1,2002
1064,Austria,Hungary,-1,2002
3215,Austria,Iran,1,2002
1405,Austria,Israel,-1,2002
3748,Austria,Israel,1,2002
1179,Austria,Liechtenstein,1,2002
3853,Austria,Liechtenstein,1,2002
1876,Austria,San Marino,1,2002
150,Austria,Slovenia,-1,2002
2222,Austria,Spain,-1,2002
3345,Austria,Spain,-1,2002
651,Austria,Sweden,1,2002
2692,Austria,Sweden,-1,2002
4238,Austria,Switzerland,-1,2002
1157,Austria,Tunisia,1,2002
4431,Austria,Turkey,-1,2002
1102,Austria,United States,-1,2002
120,Azerbaijan,Estonia,-1,2002
1604,Azerbaijan,Estonia,1,2002
1763,Azerbaijan,Estonia,-1,2002
