,home_team,away_team,home_win,year
21612,Chile,Armenia,1,2002
21613,Tunisia,Algeria,-1,2002
21614,Egypt,Belarus,1,2002
21615,Paraguay,Armenia,1,2002
21616,Togo,Ghana,1,2002
21617,Ivory Coast,Guinea,1,2002
21618,Namibia,Liberia,-1,2002
21619,Sierra Leone,Gabon,1,2002
21620,Zambia,South Africa,-1,2002
21621,Bolivia,Ecuador,1,2002
21622,Burkina Faso,Guinea,-1,2002
21623,Cameroon,Angola,-1,2002
21624,DR Congo,Congo,-1,2002
21625,Ghana,Morocco,-1,2002
21626,Kenya,Nigeria,-1,2002
21627,Lebanon,Algeria,-1,2002
21628,Peru,Chile,1,2002
21629,Tunisia,Egypt,1,2002
21630,Uruguay,Argentina,-1,2002
21631,Venezuela,Paraguay,-1,2002
21632,Zimbabwe,Togo,1,2002
21633,United States,Peru,-1,2002
21634,Australia,New Zealand,1,2002
21635,South Korea,Norway,1,2002
21636,Benin,Togo,-1,2002
21637,Mozambique,Zimbabwe,-1,2002
21638,United States,Mexico,-1,2002
21639,Australia,South Korea,1,2002
21640,Israel,Greece,-1,2002
21641,Italy,Northern Ireland,1,2002
21642,Mexico,Peru,-1,2002
21643,New Zealand,Norway,-1,2002
21644,Portugal,France,-1,2002
21645,Australia,Norway,1,2002
21646,South Korea,New Zealand,1,2002
21647,Malawi,Zambia,-1,2002
21648,Cameroon,Namibia,1,2002
21649,Chile,Honduras,1,2002
21650,Guinea,Tunisia,1,2002
21651,Ivory Coast,Benin,1,2002
21652,Lebanon,Estonia,1,2002
21653,Liberia,Togo,-1,2002
21654,Mali,Algeria,1,2002
21655,Mozambique,Mauritius,1,2002
21656,Eswatini,Lesotho,1,2002
21657,Tanzania,DR Congo,-1,2002
21658,Zimbabwe,Ghana,-1,2002
21659,China PR,United States,1,2002
21660,China PR,United States,-1,2002
21661,Bolivia,Slovakia,-1,2002
21662,Lebanon,Jordan,1,2002
21663,Costa Rica,Slovakia,-1,2002
21664,Mexico,Ecuador,1,2002
21665,Jordan,Lebanon,-1,2002
21666,Russia,Serbia,-1,2002
21667,Colombia,Slovakia,1,2002
21668,Lebanon,Jordan,-1,2002
21669,Thailand,Japan,-1,2002
21670,Russia,Switzerland,1,2002
21671,Ecuador,Uruguay,1,2002
21672,Estonia,Scotland,-1,2002
21673,Northern Ireland,Belgium,1,2002
21674,Thailand,Sweden,-1,2002
21675,Wales,Republic of Ireland,-1,2002
21676,Bolivia,Chile,-1,2002
21677,Colombia,Argentina,-1,2002
21678,England,Italy,-1,2002
21679,Jamaica,Venezuela,-1,2002
21680,Paraguay,Peru,1,2002
21681,Spain,Malta,1,2002
21682,Turkey,Finland,-1,2002
21683,Japan,Sweden,-1,2002
21684,Cyprus,Latvia,1,2002
21685,Lithuania,Poland,-1,2002
21686,Cyprus,Poland,-1,2002
21687,Latvia,Lithuania,1,2002
21688,Tonga,Solomon Islands,-1,2002
21689,Iraq,Jordan,1,2002
21690,Senegal,Mali,-1,2002
21691,Thailand,Sweden,-1,2002
21692,Cyprus,Lithuania,1,2002
21693,Fiji,Solomon Islands,-1,2002
21694,Latvia,Poland,-1,2002
21695,Kuwait,Egypt,1,2002
21696,Costa Rica,Venezuela,1,2002
21697,Greece,Portugal,-1,2002
21698,Guyana,French Guiana,1,2002
21699,Botswana,Eswatini,-1,2002
21700,China PR,Singapore,1,2002
21701,Fiji,Solomon Islands,1,2002
21702,Jamaica,Bermuda,1,2002
21703,Malaysia,Finland,1,2002
21704,Bosnia and Herzegovina,Vietnam,1,2002
21705,Hong Kong,South Korea,-1,2002
21706,Indonesia,Zimbabwe,-1,2002
21707,Malawi,Mozambique,1,2002
21708,Benin,Algeria,-1,2002
21709,Botswana,Lesotho,-1,2002
21710,China PR,Finland,1,2002
21711,Ethiopia,Egypt,-1,2002
21712,Guinea,Sierra Leone,1,2002
21713,Guyana,French Guiana,-1,2002
21714,Jamaica,Bermuda,1,2002
21715,Malaysia,Singapore,-1,2002
21716,Mali,Ivory Coast,-1,2002
21717,Mauritius,Zambia,-1,2002
21718,Tanzania,Liberia,-1,2002
21719,Togo,DR Congo,-1,2002
21720,Zimbabwe,Angola,1,2002
21721,Bosnia and Herzegovina,Zimbabwe,-1,2002
21722,Indonesia,Vietnam,1,2002
21723,Malaysia,China PR,-1,2002
21724,Singapore,Finland,-1,2002
21725,Bosnia and Herzegovina,Indonesia,1,2002
21726,Brazil,Poland,1,2002
21727,France,Netherlands,1,2002
21728,Israel,Germany,-1,2002
21729,Vietnam,Zimbabwe,-1,2002
21730,China PR,Zimbabwe,1,2002
21731,Malaysia,Bosnia and Herzegovina,-1,2002
21732,Azerbaijan,Estonia,-1,2002
21733,Botswana,Malawi,-1,2002
21734,Solomon Islands,Tonga,1,2002
21735,Bosnia and Herzegovina,China PR,-1,2002
21736,Jamaica,United States,-1,2002
21737,Lesotho,Zambia,-1,2002
21738,Mexico,Canada,1,2002
21739,Saudi Arabia,Syria,1,2002
21740,Thailand,South Korea,-1,2002
21741,Eswatini,Mozambique,-1,2002
21742,Aruba,Curaçao,1,2002
21743,Bahrain,Oman,1,2002
21744,Costa Rica,Cameroon,1,2002
21745,Saudi Arabia,Indonesia,1,2002
21746,Thailand,Hong Kong,1,2002
21747,Cyprus,Greece,-1,2002
21748,Czech Republic,Poland,1,2002
21749,Israel,Sweden,-1,2002
21750,North Macedonia,Australia,-1,2002
21751,Martinique,Saint Lucia,1,2002
21752,Saudi Arabia,Indonesia,1,2002
21753,Serbia,Russia,-1,2002
21754,El Salvador,Guatemala,-1,2002
21755,Saint Lucia,Saint Vincent and the Grenadines,1,2002
21756,Thailand,Japan,1,2002
21757,Taiwan,Saudi Arabia,-1,2002
21758,Costa Rica,Mexico,-1,2002
21759,Malaysia,Bangladesh,1,2002
21760,Namibia,Zimbabwe,1,2002
21761,United States,Canada,1,2002
21762,Austria,Slovenia,-1,2002
21763,Bangladesh,Taiwan,-1,2002
21764,Kuwait,Bahrain,1,2002
21765,Malaysia,Saudi Arabia,-1,2002
21766,Malta,Hungary,-1,2002
21767,United Arab Emirates,Lebanon,1,2002
21768,Bangladesh,Saudi Arabia,-1,2002
21769,Malaysia,Taiwan,1,2002
21770,Azerbaijan,Turkmenistan,1,2002
21771,Alderney,Guernsey,-1,2002
21772,Bolivia,Jamaica,1,2002
21773,Costa Rica,United States,1,2002
21774,Nepal,Macau,-1,2002
21775,Oman,Japan,-1,2002
21776,Panama,Belize,-1,2002
21777,Guatemala,Ecuador,-1,2002
21778,Macau,Japan,-1,2002
21779,Oman,Nepal,1,2002
21780,Nepal,Japan,-1,2002
21781,Oman,Macau,1,2002
21782,Saudi Arabia,Bangladesh,1,2002
21783,Taiwan,Bangladesh,-1,2002
21784,Albania,Ukraine,-1,2002
21785,Croatia,Denmark,-1,2002
21786,Cyprus,Russia,-1,2002
21787,England,Mexico,1,2002
21788,Italy,Moldova,1,2002
21789,Netherlands,San Marino,1,2002
21790,Northern Ireland,Portugal,-1,2002
21791,Romania,Liechtenstein,1,2002
21792,Saudi Arabia,Malaysia,1,2002
21793,Scotland,Estonia,1,2002
21794,Sierra Leone,Senegal,1,2002
21795,Tanzania,Burkina Faso,1,2002
21796,United Arab Emirates,Norway,-1,2002
21797,Wales,Belgium,-1,2002
21798,Belize,Panama,-1,2002
21799,China PR,Iraq,-1,2002
21800,Gabon,Togo,1,2002
21801,Georgia,Armenia,1,2002
21802,Hong Kong,Thailand,1,2002
21803,Bangladesh,Malaysia,-1,2002
21804,Luxembourg,Israel,-1,2002
21805,Malta,Slovakia,-1,2002
21806,Saudi Arabia,Taiwan,1,2002
21807,India,China PR,-1,2002
21808,Albania,Germany,-1,2002
21809,Azerbaijan,Finland,-1,2002
21810,Barbados,Grenada,-1,2002
21811,Bolivia,Argentina,1,2002
21812,Bosnia and Herzegovina,Greece,-1,2002
21813,Brazil,Chile,1,2002
21814,Bulgaria,Cyprus,1,2002
21815,Croatia,Slovenia,-1,2002
21816,Czech Republic,Serbia,-1,2002
21817,Dominica,British Virgin Islands,1,2002
21818,France,Sweden,1,2002
21819,Hungary,Australia,-1,2002
21820,Lithuania,Romania,-1,2002
21821,North Macedonia,Republic of Ireland,1,2002
21822,Paraguay,Colombia,1,2002
21823,Peru,Ecuador,-1,2002
21824,Poland,Italy,-1,2002
21825,Scotland,Austria,1,2002
21826,Sint Maarten,Anguilla,1,2002
21827,Switzerland,Latvia,1,2002
21828,Trinidad and Tobago,Guyana,1,2002
21829,Turkey,Netherlands,1,2002
21830,Ukraine,Northern Ireland,1,2002
21831,Uruguay,Venezuela,1,2002
21832,China PR,Ghana,-1,2002
21833,British Virgin Islands,Anguilla,1,2002
21834,Dominica,Sint Maarten,1,2002
21835,Grenada,Guyana,1,2002
21836,Trinidad and Tobago,Barbados,-1,2002
21837,Nigeria,Guinea,1,2002
21838,Sierra Leone,Ghana,-1,2002
21839,Angola,Togo,1,2002
21840,Cameroon,Zimbabwe,1,2002
21841,Canada,El Salvador,-1,2002
21842,Congo,South Africa,1,2002
21843,Dominica,Anguilla,1,2002
21844,Gabon,Morocco,-1,2002
21845,Guyana,Barbados,-1,2002
21846,India,Iraq,-1,2002
21847,Indonesia,Cambodia,1,2002
21848,Kenya,Burkina Faso,1,2002
21849,Liberia,Egypt,1,2002
21850,Namibia,Tunisia,-1,2002
21851,Sint Maarten,British Virgin Islands,1,2002
21852,Trinidad and Tobago,Grenada,-1,2002
21853,India,Ghana,-1,2002
21854,Jordan,United Arab Emirates,-1,2002
21855,DR Congo,Zambia,-1,2002
21856,India,Iraq,-1,2002
21857,Bahrain,United Arab Emirates,-1,2002
21858,India,China PR,-1,2002
21859,Kuwait,Iran,-1,2002
21860,Malawi,Mozambique,-1,2002
21861,El Salvador,Guatemala,-1,2002
21862,Indonesia,Yemen,-1,2002
21863,Lebanon,Singapore,-1,2002
21864,Mexico,Jamaica,1,2002
21865,Bahrain,Jordan,1,2002
21866,Guatemala,Costa Rica,-1,2002
21867,Honduras,Panama,1,2002
21868,Thailand,Kuwait,1,2002
21869,Costa Rica,Nicaragua,1,2002
21870,Honduras,El Salvador,1,2002
21871,Zambia,Malawi,1,2002
21872,Jordan,Bahrain,1,2002
21873,Cambodia,Yemen,-1,2002
21874,Cameroon,Congo,1,2002
21875,El Salvador,Panama,1,2002
