,year,home_team,away_team,home_rate
0,1930,Argentina,Chile,1.0
1,1930,Argentina,France,1.0
2,1930,Argentina,Mexico,1.0
3,1930,Argentina,United States,1.0
4,1930,Brazil,Bolivia,1.0
5,1930,Chile,France,1.0
6,1930,Chile,Mexico,1.0
7,1930,France,Mexico,1.0
8,1930,Paraguay,Belgium,1.0
9,1930,Romania,Peru,1.0
10,1930,United States,Belgium,1.0
11,1930,United States,Paraguay,1.0
12,1930,Uruguay,Argentina,1.0
13,1930,Uruguay,Peru,1.0
14,1930,Uruguay,Romania,1.0
15,1930,Uruguay,Yugoslavia,1.0
16,1930,Yugoslavia,Bolivia,1.0
17,1930,Yugoslavia,Brazil,1.0
18,1934,Austria,France,1.0
19,1934,Austria,Hungary,1.0
20,1934,Czech Republic,Germany,1.0
21,1934,Czech Republic,Romania,1.0
22,1934,Czech Republic,Switzerland,1.0
23,1934,Germany,Austria,1.0
24,1934,Germany,Belgium,1.0
25,1934,Germany,Sweden,1.0
26,1934,Hungary,Egypt,1.0
27,1934,Italy,Austria,1.0
28,1934,Italy,Czech Republic,1.0
29,1934,Italy,Spain,0.5
30,1934,Italy,United States,1.0
31,1934,Spain,Brazil,1.0
32,1934,Sweden,Argentina,1.0
33,1934,Switzerland,Netherlands,1.0
34,1938,Brazil,Czech Republic,0.5
35,1938,Brazil,Poland,1.0
36,1938,Brazil,Sweden,1.0
37,1938,Cuba,Romania,0.5
38,1938,Czech Republic,Netherlands,1.0
39,1938,France,Belgium,1.0
40,1938,Hungary,Dutch East Indies,1.0
41,1938,Hungary,Sweden,1.0
42,1938,Hungary,Switzerland,1.0
43,1938,Italy,Brazil,1.0
44,1938,Italy,France,1.0
45,1938,Italy,Hungary,1.0
46,1938,Italy,Norway,1.0
47,1938,Sweden,Cuba,1.0
48,1938,Switzerland,Germany,0.5
49,1950,Brazil,Mexico,1.0
50,1950,Brazil,Spain,1.0
51,1950,Brazil,Sweden,1.0
52,1950,Brazil,Switzerland,0.0
53,1950,Brazil,Yugoslavia,1.0
54,1950,Chile,United States,1.0
55,1950,England,Chile,1.0
56,1950,Italy,Paraguay,1.0
57,1950,Spain,Chile,1.0
58,1950,Spain,England,1.0
59,1950,Spain,United States,1.0
60,1950,Sweden,Italy,1.0
61,1950,Sweden,Paraguay,0.0
62,1950,Sweden,Spain,1.0
63,1950,Switzerland,Mexico,1.0
64,1950,United States,England,1.0
65,1950,Uruguay,Bolivia,1.0
66,1950,Uruguay,Brazil,1.0
67,1950,Uruguay,Spain,0.0
68,1950,Uruguay,Sweden,1.0
69,1950,Yugoslavia,Mexico,1.0
70,1950,Yugoslavia,Switzerland,1.0
71,1954,Austria,Czech Republic,1.0
72,1954,Austria,Scotland,1.0
73,1954,Austria,Uruguay,1.0
74,1954,Brazil,Mexico,1.0
75,1954,Brazil,Yugoslavia,0.0
76,1954,England,Belgium,0.0
77,1954,France,Mexico,1.0
78,1954,Germany,Austria,1.0
79,1954,Germany,Hungary,1.0
80,1954,Germany,Turkey,1.0
81,1954,Germany,Yugoslavia,1.0
82,1954,Hungary,Brazil,1.0
83,1954,Hungary,Germany,1.0
84,1954,Hungary,South Korea,1.0
85,1954,Hungary,Uruguay,1.0
86,1954,Italy,Belgium,1.0
87,1954,Switzerland,Austria,0.0
88,1954,Switzerland,England,0.0
89,1954,Switzerland,Italy,1.0
90,1954,Turkey,South Korea,1.0
91,1954,Uruguay,Czech Republic,1.0
92,1954,Uruguay,England,1.0
93,1954,Uruguay,Scotland,1.0
94,1954,Yugoslavia,France,1.0
95,1958,Argentina,Northern Ireland,1.0
96,1958,Argentina,West Germany,0.0
97,1958,Brazil,Austria,1.0
98,1958,Brazil,England,0.0
99,1958,Brazil,France,1.0
100,1958,Brazil,Russia,1.0
101,1958,Brazil,Sweden,1.0
102,1958,Brazil,Wales,1.0
103,1958,Czech Republic,Argentina,1.0
104,1958,England,Austria,0.0
105,1958,France,Northern Ireland,1.0
106,1958,France,Paraguay,1.0
107,1958,France,Scotland,1.0
108,1958,France,West Germany,1.0
109,1958,Hungary,Mexico,1.0
110,1958,Hungary,Wales,0.0
111,1958,Mexico,Wales,0.0
112,1958,Northern Ireland,Czech Republic,1.0
113,1958,Paraguay,Scotland,1.0
114,1958,Paraguay,Yugoslavia,0.0
115,1958,Russia,Austria,1.0
116,1958,Russia,England,0.5
117,1958,Sweden,Hungary,1.0
118,1958,Sweden,Mexico,1.0
119,1958,Sweden,Russia,1.0
120,1958,Sweden,Wales,0.0
121,1958,Sweden,West Germany,1.0
122,1958,Wales,Hungary,1.0
123,1958,West Germany,Czech Republic,0.0
124,1958,West Germany,Northern Ireland,0.0
125,1958,West Germany,Yugoslavia,1.0
126,1958,Yugoslavia,France,1.0
127,1958,Yugoslavia,Scotland,0.0
