,home_team,away_team,home_win,year
64,France,Croatia,1,2022
65,Belgium,England,1,2022
66,Croatia,England,1,2022
67,France,Belgium,1,2022
68,Sweden,England,-1,2022
69,Russia,Croatia,-1,2022
70,Uruguay,France,-1,2022
71,Brazil,Belgium,-1,2022
72,Sweden,Switzerland,1,2022
73,Colombia,England,-1,2022
74,Brazil,Mexico,1,2022
75,Belgium,Japan,1,2022
76,Spain,Russia,-1,2022
77,Croatia,Denmark,-1,2022
78,France,Argentina,1,2022
79,Uruguay,Portugal,1,2022
80,Japan,Poland,-1,2022
81,Senegal,Colombia,-1,2022
82,England,Belgium,-1,2022
83,Panama,Tunisia,-1,2022
84,Korea Republic,Germany,1,2022
85,Mexico,Sweden,-1,2022
86,Switzerland,Costa Rica,-1,2022
87,Serbia,Brazil,-1,2022
88,Australia,Peru,-1,2022
89,Denmark,France,-1,2022
90,Iceland,Croatia,-1,2022
91,Nigeria,Argentina,-1,2022
92,Saudi Arabia,Egypt,1,2022
93,Uruguay,Russia,1,2022
94,Spain,Morocco,-1,2022
95,IR Iran,Portugal,-1,2022
96,England,Panama,1,2022
97,Japan,Senegal,-1,2022
98,Poland,Colombia,-1,2022
99,Belgium,Tunisia,1,2022
100,Korea Republic,Mexico,-1,2022
101,Germany,Sweden,1,2022
102,Brazil,Costa Rica,1,2022
103,Nigeria,Iceland,1,2022
104,Serbia,Switzerland,-1,2022
105,Denmark,Australia,-1,2022
106,France,Peru,1,2022
107,Argentina,Croatia,-1,2022
108,Portugal,Morocco,1,2022
109,Uruguay,Saudi Arabia,1,2022
110,IR Iran,Spain,-1,2022
111,Colombia,Japan,-1,2022
112,Poland,Senegal,-1,2022
113,Russia,Egypt,1,2022
114,Sweden,Korea Republic,1,2022
115,Belgium,Panama,1,2022
116,Tunisia,England,-1,2022
117,Costa Rica,Serbia,-1,2022
118,Germany,Mexico,-1,2022
119,Brazil,Switzerland,-1,2022
120,France,Australia,1,2022
121,Argentina,Iceland,-1,2022
122,Peru,Denmark,-1,2022
123,Croatia,Nigeria,1,2022
124,Egypt,Uruguay,-1,2022
125,Morocco,IR Iran,-1,2022
126,Portugal,Spain,-1,2022
127,Russia,Saudi Arabia,1,2022
128,Germany,Argentina,1,2018
129,Brazil,Netherlands,-1,2018
130,Netherlands,Argentina,-1,2018
131,Brazil,Germany,-1,2018
132,Argentina,Belgium,1,2018
133,Netherlands,Costa Rica,-1,2018
134,France,Germany,-1,2018
135,Brazil,Colombia,1,2018
136,Argentina,Switzerland,1,2018
137,Belgium,United States,1,2018
138,France,Nigeria,1,2018
139,Germany,Algeria,1,2018
140,Netherlands,Mexico,1,2018
141,Costa Rica,Greece,-1,2018
142,Brazil,Chile,-1,2018
143,Colombia,Uruguay,1,2018
144,United States,Germany,-1,2018
145,Portugal,Ghana,1,2018
146,Korea Republic,Belgium,-1,2018
147,Algeria,Russia,-1,2018
148,Bosnia and Herzegovina,IR Iran,1,2018
149,Nigeria,Argentina,-1,2018
150,Honduras,Switzerland,-1,2018
151,Ecuador,France,-1,2018
152,Costa Rica,England,-1,2018
153,Italy,Uruguay,-1,2018
154,Japan,Colombia,-1,2018
155,Greece,Côte d'Ivoire,1,2018
156,Australia,Spain,-1,2018
157,Netherlands,Chile,1,2018
158,Croatia,Mexico,-1,2018
159,Cameroon,Brazil,-1,2018
160,Belgium,Russia,1,2018
161,Korea Republic,Algeria,-1,2018
162,United States,Portugal,-1,2018
163,Argentina,IR Iran,1,2018
164,Germany,Ghana,-1,2018
165,Nigeria,Bosnia and Herzegovina,1,2018
166,Italy,Costa Rica,-1,2018
167,Switzerland,France,-1,2018
168,Honduras,Ecuador,-1,2018
169,Colombia,Côte d'Ivoire,1,2018
170,Uruguay,England,1,2018
171,Japan,Greece,-1,2018
172,Australia,Netherlands,-1,2018
173,Spain,Chile,-1,2018
174,Cameroon,Croatia,-1,2018
175,Belgium,Algeria,1,2018
176,Brazil,Mexico,-1,2018
177,Russia,Korea Republic,-1,2018
178,Germany,Portugal,1,2018
179,IR Iran,Nigeria,-1,2018
180,Ghana,United States,-1,2018
