,home_team,away_team,home_win,year
15,Spain,Russia,-1,2022
32,Uruguay,Russia,1,2022
102,Cameroon,Brazil,-1,2018
168,France,South Africa,-1,2014
238,Ecuador,Germany,-1,2010
285,Germany,South Korea,1,2006
286,Spain,South Korea,-1,2006
301,Portugal,South Korea,-1,2006
304,Turkey,China,1,2006
326,Brazil,China,1,2006
336,China,Costa Rica,-1,2006
351,Brazil,France,-1,2002
359,Italy,France,-1,2002
364,Netherlands,FR Yugoslavia,1,2002
378,United States,FR Yugoslavia,-1,2002
392,Germany,FR Yugoslavia,-1,2002
412,FR Yugoslavia,Iran,1,2002
