Nation,조별리그,16강,8강,4강,준우승,우승
스페인,0.0,0.0,0.0,0.0,0.0,1.0
독일,0.0,0.056,0.156,0.244,0.544,0.0
벨기에,0.0,0.156,0.25,0.378,0.216,0.0
프랑스,0.0,0.214,0.308,0.328,0.15,0.0
브라질,0.0,0.218,0.374,0.34,0.068,0.0
아르헨티나,0.0,0.346,0.396,0.236,0.022,0.0
포르투갈,0.0,0.378,0.414,0.208,0.0,0.0
잉글랜드,0.0,0.484,0.398,0.118,0.0,0.0
크로아티아,0.03,0.5,0.412,0.058,0.0,0.0
멕시코,0.01,0.598,0.334,0.058,0.0,0.0
폴란드,0.068,0.62,0.294,0.018,0.0,0.0
콜롬비아,0.026,0.736,0.23,0.008,0.0,0.0
스위스,0.0,0.788,0.206,0.006,0.0,0.0
덴마크,0.65,0.272,0.078,0.0,0.0,0.0
러시아,0.224,0.702,0.074,0.0,0.0,0.0
우루과이,0.15,0.794,0.056,0.0,0.0,0.0
세네갈,0.808,0.182,0.01,0.0,0.0,0.0
스웨덴,0.836,0.16,0.004,0.0,0.0,0.0
일본,0.956,0.04,0.004,0.0,0.0,0.0
세르비아,0.966,0.032,0.002,0.0,0.0,0.0
페루,0.326,0.674,0.0,0.0,0.0,0.0
모로코,0.95,0.05,0.0,0.0,0.0,0.0
아이슬란드,1.0,0.0,0.0,0.0,0.0,0.0
코스타리카,1.0,0.0,0.0,0.0,0.0,0.0
튀니지,1.0,0.0,0.0,0.0,0.0,0.0
이집트,1.0,0.0,0.0,0.0,0.0,0.0
이란,1.0,0.0,0.0,0.0,0.0,0.0
나이지리아,1.0,0.0,0.0,0.0,0.0,0.0
호주,1.0,0.0,0.0,0.0,0.0,0.0
파나마,1.0,0.0,0.0,0.0,0.0,0.0
대한민국,1.0,0.0,0.0,0.0,0.0,0.0
사우디아라비아,1.0,0.0,0.0,0.0,0.0,0.0
