Year,Nation,Eng_Nation,Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd,Avg_Age,Avg_Famous,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,FS_14
2026,미국,United States,0.5,1.816326530612245,15.0,1660.31,-4.0,83.61,26.27,3,76.5,68.77,65.35,69.62,74.12,53.5,73.0,71.38,72.81,64.0,73.92,17.49,66.42,57.42,53.96
2026,멕시코,Mexico,0.53,1.6136363636363635,14.33,1661.83,3.66,31.77,26.27,1,75.58,66.42,63.5,65.19,69.23,57.5,70.46,70.27,67.77,67.46,69.5,17.82,65.21,54.1,54.23
2026,캐나다,Canada,0.47,1.457142857142857,36.0,1506.31,-30.33,149.57,27.58,1,72.92,65.04,61.65,66.69,70.35,52.46,68.54,69.54,74.08,65.12,71.08,17.26,62.27,50.59,52.92
2026,아르헨티나,Argentina,0.52,4.923076923076923,1.67,1870.25,-6.66,216.15,29.0,11,82.15,75.15,70.96,79.0,80.65,63.88,71.42,72.38,71.88,73.5,70.12,18.46,75.35,58.49,61.69
2026,브라질,Brazil,0.44,1.375,4.67,1790.41,2.0,42.83,26.96,12,83.65,75.54,71.08,78.85,81.46,63.73,76.54,76.5,74.19,72.42,76.92,18.6,73.71,57.32,58.77
2026,잉글랜드,England,0.68,3.2857142857142856,4.0,1810.69,0.33,116.88,26.77,14,83.5,76.58,72.58,80.65,83.27,68.12,70.77,74.38,72.27,74.77,71.23,18.4,76.65,60.56,62.0
2026,프랑스,France,0.61,2.5185185185185186,2.0,1854.53,-0.67,113.43,27.31,15,84.54,76.46,73.12,79.46,83.73,65.12,77.38,75.38,75.88,72.46,78.04,18.37,75.52,60.81,59.23
2026,독일,Germany,0.47,1.4186046511627908,13.33,1678.12,-1.34,74.85,28.69,13,83.27,74.19,70.65,79.0,82.81,61.81,65.08,72.58,77.15,75.62,68.35,18.79,75.33,58.99,60.38
2026,일본,Japan,0.58,4.454545454545454,18.0,1628.42,-10.33,124.93,26.81,4,75.65,67.08,65.08,67.62,74.31,55.69,73.42,70.54,67.92,65.69,72.04,17.14,64.44,53.72,55.31
2026,포르투갈,Portugal,0.76,3.230769230769231,7.0,1753.42,1.33,96.45,27.58,13,82.15,75.12,72.38,77.65,80.62,64.58,70.77,74.58,71.19,75.77,70.65,18.44,74.56,58.65,61.12
