년도,팀,영문국가명,예선_승률,예선_골득실률,순위,승점,AvgApps
2002,브라질,Brazil,0.46,2.352112676056338,1,21,0.26087
2002,독일,Germany,0.55,1.817073170731708,2,16,0.21739
2002,터키,Turkey,0.46,1.4576271186440677,3,13,0.0
2002,대한민국,South Korea,0.48,2.216666666666667,4,11,0.43478
2002,스페인,Spain,0.65,3.227272727272727,5,11,0.26087
2002,잉글랜드,England,0.47,1.836065573770492,6,8,0.43478
2002,세네갈,Senegal,0.5,1.9433962264150944,7,8,0.0
2002,미국,United States,0.57,2.388888888888889,8,7,0.52174
2002,일본,Japan,0.46,1.7580645161290325,9,7,0.30435
2002,덴마크,Denmark,0.52,1.6507936507936507,10,7,0.26087
2002,멕시코,Mexico,0.54,2.074074074074074,11,7,0.52174
2002,아일랜드,Republic of Ireland,0.56,2.225,12,6,0.21739
2002,스웨덴,Sweden,0.48,2.235294117647059,13,5,0.13043
2002,벨기에,Belgium,0.42,1.289855072463768,14,5,0.3913
2002,이탈리아,Italy,0.52,1.9787234042553192,15,4,0.43478
2002,파라과이,Paraguay,0.43,1.0987654320987654,16,4,0.34783
2002,남아프리카 공화국,South Africa,0.46,1.5285714285714285,17,4,0.26087
2002,아르헨티나,Argentina,0.61,2.1129032258064515,18,4,0.73913
2002,코스타리카,Costa Rica,0.4,1.3548387096774193,19,4,0.0
2002,카메룬,Cameroon,0.4,1.880952380952381,20,4,0.65217
2002,포르투갈,Portugal,0.59,2.864406779661017,21,3,0.0
2002,러시아,Russia,0.47,1.5737704918032789,22,3,0.21739
2002,크로아티아,Croatia,0.43,1.4259259259259258,23,3,0.47826
2002,에콰도르,Ecuador,0.38,0.9183673469387756,24,3,0.0
2002,폴란드,Poland,0.46,1.4931506849315068,25,3,0.0
2002,우루과이,Uruguay,0.43,1.0947368421052632,26,2,0.0
2002,나이지리아,Nigeria,0.51,1.8793103448275863,27,1,0.26087
2002,프랑스,France,0.63,3.4,28,1,0.52174
2002,튀니지,Tunisia,0.45,1.6764705882352942,29,1,0.43478
2002,슬로베니아,Slovenia,0.46,1.1830985915492958,30,0,0.0
2002,중국,China PR,0.55,2.754716981132076,31,0,0.0
2002,사우디아라비아,Saudi Arabia,0.57,2.7666666666666666,32,0,0.3913
2006,이탈리아,Italy,0.59,2.0,1,17,0.52174
2006,프랑스,France,0.59,2.813953488372093,2,15,0.65217
2006,독일,Germany,0.6,2.24,3,16,0.47826
2006,포르투갈,Portugal,0.55,2.272727272727273,4,13,0.26087
2006,브라질,Brazil,0.44,2.7241379310344827,5,12,0.69565
2006,아르헨티나,Argentina,0.51,1.8405797101449275,6,11,0.21739
2006,잉글랜드,England,0.61,2.327586206896552,7,11,0.56522
2006,우크라이나,Ukraine,0.44,1.5918367346938775,8,7,0.0
2006,스페인,Spain,0.68,3.6666666666666665,9,9,0.30435
2006,스위스,Switzerland,0.47,1.2727272727272727,10,8,0.0
2006,네덜란드,Netherlands,0.58,2.7115384615384617,11,7,0.13043
2006,에콰도르,Ecuador,0.4,0.8166666666666667,12,6,0.30435
2006,가나,Ghana,0.48,1.5901639344262295,13,6,0.0
2006,스웨덴,Sweden,0.45,1.6712328767123288,14,5,0.6087
2006,멕시코,Mexico,0.51,2.1123595505617976,15,4,0.52174
2006,호주,Australia,0.54,2.604651162790698,16,4,0.0
2006,대한민국,South Korea,0.45,2.164179104477612,17,4,0.3913
2006,파라과이,Paraguay,0.39,1.0740740740740742,18,3,0.47826
2006,코트디부아르,Ivory Coast,0.53,2.12280701754386,19,3,0.0
2006,체코,Czech Republic,0.63,2.56140350877193,20,3,0.0
2006,폴란드,Poland,0.52,1.7386363636363635,21,3,0.13043
2006,크로아티아,Croatia,0.61,1.9230769230769231,22,2,0.52174
2006,앙골라,Angola,0.39,1.25,23,2,0.0
2006,튀니지,Tunisia,0.56,1.9655172413793105,24,1,0.34783
2006,미국,United States,0.66,2.672131147540984,25,1,0.6087
2006,이란,Iran,0.59,2.569230769230769,26,1,0.04348
2006,트리니다드 토바고,Trinidad and Tobago,0.43,1.048,27,1,0.0
2006,사우디아라비아,Saudi Arabia,0.58,2.2051282051282053,28,1,0.52174
2006,일본,Japan,0.64,2.2535211267605635,29,1,0.56522
2006,토고,Togo,0.47,1.3148148148148149,30,0,0.0
2006,코스타리카,Costa Rica,0.35,1.203883495145631,31,0,0.30435
