년도,팀,영문국가명,예선_승률,예선_골득실률,순위,승점,AvgApps,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,gk,passing,defending,평균나이,top20소속선수수,rank,total_points,rank_diff,points_diff
2002,브라질,Brazil,0.46,2.352112676056338,1,21,0.26087,74.36,73.68,77.73,73.41,71.64,67.95,75.27,77.05,72.73,82.09,31.95,68.95,59.61,26.74,3,1.33,818.33,,
2002,독일,Germany,0.55,1.817073170731708,2,16,0.21739,68.05,56.29,75.57,66.48,54.0,63.29,66.38,67.86,72.57,80.57,37.6,62.88,63.29,28.26,10,8.67,718.33,,
2002,터키,Turkey,0.46,1.4576271186440677,3,13,0.0,66.85,65.85,68.3,67.2,62.0,62.65,66.45,69.8,67.05,74.05,30.85,65.18,56.78,28.26,1,33.0,593.33,,
2002,대한민국,South Korea,0.48,2.216666666666667,4,11,0.43478,65.95,56.82,69.45,69.0,55.05,55.41,65.91,65.5,65.68,72.45,32.64,57.66,62.23,27.13,0,42.0,573.0,,
2002,스페인,Spain,0.65,3.227272727272727,5,11,0.26087,73.55,68.73,80.0,77.55,69.0,69.77,75.5,78.23,78.09,83.27,35.05,69.8,64.55,27.13,3,5.0,742.33,,
2002,잉글랜드,England,0.47,1.836065573770492,6,8,0.43478,75.38,70.33,80.0,79.86,60.05,61.38,80.33,82.62,78.14,87.29,32.62,64.69,69.26,27.3,9,11.67,692.33,,
2002,세네갈,Senegal,0.5,1.9433962264150944,7,8,0.0,67.32,60.91,67.14,59.91,61.59,61.68,69.41,69.91,64.68,72.14,29.75,59.77,62.23,24.87,0,79.0,470.33,,
2002,미국,United States,0.57,2.388888888888889,8,7,0.52174,68.36,65.86,73.09,70.82,59.41,58.68,74.36,75.14,73.45,78.91,31.34,64.11,60.73,28.83,1,19.33,642.33,,
2002,일본,Japan,0.46,1.7580645161290325,9,7,0.30435,64.86,65.19,64.71,57.81,56.05,56.52,66.95,66.52,66.05,74.71,30.26,57.88,60.05,25.87,0,43.0,567.67,,
2002,덴마크,Denmark,0.52,1.6507936507936507,10,7,0.26087,70.86,65.67,74.52,69.76,59.0,63.24,72.95,77.57,77.24,83.76,31.33,67.98,62.26,28.09,2,17.33,659.0,,
2002,멕시코,Mexico,0.54,2.074074074074074,11,7,0.52174,64.06,56.17,59.56,56.11,57.44,53.22,56.89,61.83,62.61,64.17,27.94,56.08,55.17,29.04,0,11.0,704.33,,
2002,아일랜드,Republic of Ireland,0.56,2.225,12,6,0.21739,67.7,64.4,74.95,72.45,54.15,54.05,73.45,74.45,74.75,82.85,34.33,59.68,65.0,27.52,2,31.33,598.0,,
