년도,국가,포지션,등번호,한글 성명,로마자 성명,생년월일,소속팀
2002,세네갈,GK,1,토니 실바,Tony Sylva,1975.05.17,AS 모나코
2002,세네갈,GK,16,오마르 디알로,Omar Diallo,1972.09.28,올랭피크 쿠리브가
2002,세네갈,GK,22,칼리두 시소코,Kalidou Cissokho,1978.08.28,ASC 잔다르크
2002,세네갈,DF,2,오마르 다프,Omar Daf,1977.02.12,FC 소쇼
2002,세네갈,DF,4,파페 말리크 디오프,Pape Malick Diop,1974.12.29,FC 로리앙
2002,세네갈,DF,5,알라산 은두르,Alassane N'Dour,1981.12.12,AS 생테티엔
2002,세네갈,DF,6,알리우 시세,Aliou Cissé,1976.03.24,몽펠리에 HSC
2002,세네갈,DF,13,라민 디아타,Lamine Diatta,1975.07.02,스타드 렌 FC
2002,세네갈,DF,17,페르디낭 콜리,Ferdinand Coly,1973.09.10,RC 랑스
2002,세네갈,DF,21,하비브 베예,Habib Beye,1977.10.19,RC 스트라스부르
2002,세네갈,MF,3,파프 사르,Pape Sarr,1977.12.07,RC 랑스
2002,세네갈,MF,10,칼릴루 파디가,Khalilou Fadiga,1974.12.30,AJ 오세르
2002,세네갈,MF,12,암디 파예,Amdy Faye,1977.03.12,AJ 오세르
2002,세네갈,MF,14,무사 은디아예,Moussa N'Diaye,1979.02.20,CS 스당
2002,세네갈,MF,15,살리프 디아오,Salif Diao,1977.02.10,CS 스당
2002,세네갈,MF,19,파파 부바 디오프,Papa Bouba Diop,1978.01.28,RC 랑스
2002,세네갈,MF,20,실뱅 은디아예,Sylvain N'Diaye,1976.06.25,릴 OSC
2002,세네갈,MF,23,마크타르 은디아예,Makhtar N'Diaye,1981.12.31,스타드 렌 FC
2002,세네갈,FW,7,앙리 카마라,Henri Camara,1977.05.10,CS 스당
2002,세네갈,FW,8,아마라 트라오레,Amara Traoré,1976.09.25,FC 괴뇽
2002,세네갈,FW,9,술레이만 카마라,Souleymane Camara,1982.12.22,AS 모나코
2002,세네갈,FW,11,엘 하지 디우프,El Hadji Diouf,1981.01.15,RC 랑스
2002,세네갈,FW,18,파페 티아우,Pape Thiaw,1981.02.05,RC 스트라스부르
2002,우루과이,GK,1,파비안 카리니,Fabián Carini,1979.12.26,유벤투스 FC
2002,우루과이,GK,12,구스타보 무누아,Gustavo Munúa,1978.01.27,클루브 나시오날 데 푸트볼
2002,우루과이,GK,23,페데리코 엘두아이옌,Federico Elduayen,1977.06.25,CA 페냐롤
2002,우루과이,DF,2,구스타보 멘데스,Gustavo Méndez,1971.02.03,클루브 나시오날 데 푸트볼
2002,우루과이,DF,3,알레한드로 렘보,Alejandro Lembo,1978.02.15,클루브 나시오날 데 푸트볼
2002,우루과이,DF,4,파올로 몬테로,Paolo Montero,1971.09.03,유벤투스 FC
2002,우루과이,DF,6,다리오 로드리게스,Darío Rodríguez,1974.09.17,CA 페냐롤
2002,우루과이,DF,14,곤살로 소론도,Gonzalo Sorondo,1979.10.09,FC 인테르나치오날레 밀라노
2002,우루과이,DF,19,조 비세라,Joe Bizera,1980.05.17,CA 페냐롤
2002,우루과이,MF,5,파블로 가르시아,Pablo García,1977.05.11,베네치아 FC
2002,우루과이,MF,7,지아니 기구,Gianni Guigou,1975.02.22,AS 로마
2002,우루과이,MF,10,파비안 오닐,Fabián O'Neill,1973.10.14,AC 페루자
2002,우루과이,MF,16,마르셀로 로메로,Marcelo Romero,1976.07.04,말라가 CF
2002,우루과이,MF,17,마리오 레게이로,Mario Regueiro,1978.09.14,라싱 데 산탄데르
2002,우루과이,MF,20,알바로 레코바,Álvaro Recoba,1976.03.17,FC 인테르나치오날레 밀라노
2002,우루과이,MF,22,곤살로 데로스산토스,Gonzalo de los Santos,1976.07.19,발렌시아 CF
2002,우루과이,FW,8,구스타보 바렐라,Gustavo Varela,1978.05.14,클루브 나시오날 데 푸트볼
2002,우루과이,FW,9,다리오 실바,Darío Silva,1972.11.02,말라가 CF
2002,우루과이,FW,11,페데리코 마가야네스,Federico Magallanes,1976.08.22,베네치아 FC
2002,우루과이,FW,13,세바스티안 아브레우,Sebastián Abreu,1976.10.17,CD 크루스 아술
2002,우루과이,FW,15,니콜라스 올리베이라,Nicolás Olivera,1978.05.30,세비야 FC
2002,우루과이,FW,18,리카르드 모랄레스,Richard Morales,1975.02.21,클루브 나시오날 데 푸트볼
2002,우루과이,FW,21,디에고 포를란,Diego Forlán,1979.05.19,맨체스터 유나이티드 FC
2002,덴마크,GK,1,토마스 쇠렌센,Thomas Sørensen,1976.06.12,선덜랜드 AFC
2002,덴마크,GK,16,페테르 키예르,Peter Kjær,1965.11.05,애버딘 FC
2002,덴마크,GK,22,예스페르 크리스티안센,Jesper Christiansen,1978.04.24,바일레 BK
2002,덴마크,DF,3,레네 헨릭센,René Henriksen,1969.08.27,파나티나이코스 FC
2002,덴마크,DF,4,마르틴 라우르센,Martin Laursen,1977.07.26,AC 밀란
2002,덴마크,DF,5,얀 헤인체,Jan Heintze,1963.08.17,PSV 에인트호번
2002,덴마크,DF,6,토마스 헬베그,Thomas Helveg,1971.06.24,AC 밀란
2002,덴마크,DF,12,니클라스 옌센,Niclas Jensen,1974.08.17,맨체스터 시티 FC
