순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
1,독일,7,6,1,0,18,4,14,19,우승
2,아르헨티나,7,5,1,1,8,4,4,16,준우승
3,네덜란드,7,5,2,0,15,4,11,17,3위
4,브라질,7,3,2,2,11,14,-3,11,4위
5,콜롬비아,5,4,0,1,12,4,8,12,8강
6,벨기에,5,4,0,1,6,3,3,12,8강
7,프랑스,5,3,1,1,11,3,8,10,8강
8,코스타리카,5,2,3,0,5,2,3,9,8강
9,칠레,4,2,1,1,6,4,2,7,16강
10,멕시코,4,2,1,1,5,3,2,7,16강
11,스위스,4,2,0,2,7,7,0,6,16강
12,우루과이,4,2,0,2,4,6,-2,6,16강
13,그리스,4,1,2,1,3,5,-2,5,16강
14,알제리,4,1,1,2,7,7,0,4,16강
15,미국,4,1,1,2,5,6,-1,4,16강
16,나이지리아,4,1,1,2,3,5,-2,4,16강
17,에콰도르,3,1,1,1,3,3,0,4,조별리그
18,포르투갈,3,1,1,1,4,7,-3,4,조별리그
19,크로아티아,3,1,0,2,6,6,0,3,조별리그
20,보스니아 헤르체고비나,3,1,0,2,4,4,0,3,조별리그
21,코트디부아르,3,1,0,2,4,5,-1,3,조별리그
22,이탈리아,3,1,0,2,2,3,-1,3,조별리그
23,스페인,3,1,0,2,4,7,-3,3,조별리그
24,러시아,3,0,2,1,2,3,-1,2,조별리그
25,가나,3,0,1,2,4,6,-2,1,조별리그
26,잉글랜드,3,0,1,2,2,4,-2,1,조별리그
27,대한민국,3,0,1,2,3,6,-3,1,조별리그
28,이란,3,0,1,2,1,4,-3,1,조별리그
29,일본,3,0,1,2,2,6,-4,1,조별리그
30,호주,3,0,0,3,3,9,-6,0,조별리그
31,온두라스,3,0,0,3,1,8,-7,0,조별리그
32,카메룬,3,0,0,3,1,9,-8,0,조별리그
