year,nation,Fullname,birth_date,N_name
2002,Senegal,Tony Sylva,1975.05.17,tonysylva
2002,Senegal,Omar Diallo,1972.09.28,omardiallo
2002,Senegal,Kalidou Cissokho,1978.08.28,kalidoucissokho
2002,Senegal,Omar Daf,1977.02.12,dafomar
2002,Senegal,Pape Malick Diop,1974.12.29,papemalickdiop
2002,Senegal,Alassane N'Dour,1981.12.12,alassanen'dour
2002,Senegal,Aliou Cissé,1976.03.24,alioucisse
2002,Senegal,Lamine Diatta,1975.07.02,laminediatta
2002,Senegal,Ferdinand Coly,1973.09.10,ferdinandcoly
2002,Senegal,Habib Beye,1977.10.19,habibbeye
2002,Senegal,Pape Sarr,1977.12.07,papesarr
2002,Senegal,Khalilou Fadiga,1974.12.30,khaliloufadiga
2002,Senegal,Amdy Faye,1977.03.12,amdyfaye
2002,Senegal,Moussa N'Diaye,1979.02.20,moussan'diaye
2002,Senegal,Salif Diao,1977.02.10,salifdiao
2002,Senegal,Papa Bouba Diop,1978.01.28,papaboubadiop
2002,Senegal,Sylvain N'Diaye,1976.06.25,sylvainn'diaye
2002,Senegal,Makhtar N'Diaye,1981.12.31,makhtarn'diaye
2002,Senegal,Henri Camara,1977.05.10,henricamara
2002,Senegal,Amara Traoré,1976.09.25,amaratraore
2002,Senegal,Souleymane Camara,1982.12.22,souleymanecamara
2002,Senegal,El Hadji Diouf,1981.01.15,elhadjidiouf
2002,Senegal,Pape Thiaw,1981.02.05,papethiaw
2002,Uruguay,Fabián Carini,1979.12.26,fabiancarini
2002,Uruguay,Gustavo Munúa,1978.01.27,gustavomunua
2002,Uruguay,Federico Elduayen,1977.06.25,federicoelduayen
2002,Uruguay,Gustavo Méndez,1971.02.03,gustavomendez
2002,Uruguay,Alejandro Lembo,1978.02.15,alejandrolembo
2002,Uruguay,Paolo Montero,1971.09.03,paolomontero
2002,Uruguay,Darío Rodríguez,1974.09.17,dariorodriguez
2002,Uruguay,Gonzalo Sorondo,1979.10.09,gonzalosorondo
2002,Uruguay,Joe Bizera,1980.05.17,joebizera
2002,Uruguay,Pablo García,1977.05.11,pablogarcia
2002,Uruguay,Gianni Guigou,1975.02.22,gianniguigou
2002,Uruguay,Fabián O'Neill,1973.10.14,fabiano'neill
2002,Uruguay,Marcelo Romero,1976.07.04,marceloromero
2002,Uruguay,Mario Regueiro,1978.09.14,marioregueiro
2002,Uruguay,Álvaro Recoba,1976.03.17,alvarorecoba
2002,Uruguay,Gonzalo de los Santos,1976.07.19,gonzalodelossantos
2002,Uruguay,Gustavo Varela,1978.05.14,gustavovarela
2002,Uruguay,Darío Silva,1972.11.02,dariosilva
2002,Uruguay,Federico Magallanes,1976.08.22,federicomagallanes
2002,Uruguay,Sebastián Abreu,1976.10.17,sebastianabreu
2002,Uruguay,Nicolás Olivera,1978.05.30,nicolasolivera
2002,Uruguay,Richard Morales,1975.02.21,richardmorales
2002,Uruguay,Diego Forlán,1979.05.19,diegoforlan
2002,Denmark,Thomas Sørensen,1976.06.12,thomassørensen
2002,Denmark,Peter Kjær,1965.11.05,peterkjær
2002,Denmark,Jesper Christiansen,1978.04.24,jesperchristiansen
2002,Denmark,René Henriksen,1969.08.27,renehenriksen
2002,Denmark,Martin Laursen,1977.07.26,martinlaursen
2002,Denmark,Jan Heintze,1963.08.17,janheintze
2002,Denmark,Thomas Helveg,1971.06.24,thomashelveg
2002,Denmark,Niclas Jensen,1974.08.17,niclasjensen
2002,Denmark,Steven Lustü,1971.04.13,stevenlustu
2002,Denmark,Kasper Bøgelund,1980.10.08,kasperbøgelund
2002,Denmark,Stig Tøfting,1969.08.14,stigtøfting
2002,Denmark,Thomas Gravesen,1976.03.11,thomasgravesen
2002,Denmark,Jesper Grønkjær,1977.08.12,jespergrønkjær
2002,Denmark,Martin Jørgensen,1975.10.06,martinjørgensen
2002,Denmark,Claus Jensen,1977.04.29,clausjensen
2002,Denmark,Jan Michaelsen,1970.11.28,janmichaelsen
2002,Denmark,Christian Poulsen,1980.02.28,christianpoulsen
2002,Denmark,Dennis Rommedahl,1978.07.22,dennisrommedahl
2002,Denmark,Brian Steen Nielsen,1968.12.28,briansteennielsen
2002,Denmark,Jon Dahl Tomasson,1976.08.29,jondahltomasson
2002,Denmark,Ebbe Sand,1972.07.19,ebbesand
2002,Denmark,Peter Løvenkrands,1980.01.29,peterløvenkrands
2002,Denmark,Peter Madsen,1978.04.26,petermadsen
2002,Spain,Iker Casillas,1981.05.20,ikercasillas
2002,Spain,Ricardo,1971.12.30,ricardo
2002,Spain,Pedro Contreras,1972.01.07,pedrocontreras
2002,Spain,Curro Torres,1976.12.27,currotorres
2002,Spain,Juanfran,1976.07.15,juanfran
2002,Spain,Carles Puyol,1978.04.13,carlespuyol
2002,Spain,Fernando Hierro,1968.03.23,fernandohierro
2002,Spain,Enrique Romero,1971.06.23,enriqueromero
2002,Spain,Miguel Ángel Nadal,1966.07.28,miguelangelnadal
2002,Spain,Iván Helguera,1975.03.18,ivanhelguera
2002,Spain,Rubén Baraja,1975.07.11,rubenbaraja
2002,Spain,Javier de Pedro,1973.08.04,javierdepedro
2002,Spain,David Albelda,1977.09.01,davidalbelda
2002,Spain,Gaizka Mendieta,1974.03.27,gaizkamendieta
2002,Spain,Juan Carlos Valerón,1975.06.17,juancarlosvaleron
2002,Spain,Sergio,1976.11.10,sergio
2002,Spain,Xavi,1980.01.25,xavi
2002,Spain,Luis Enrique,1970.05.08,luisenrique
2002,Spain,Joaquín,1981.07.21,joaquin
2002,Spain,Raúl,1977.06.27,raul
2002,Spain,Fernando Morientes,1976.04.05,fernandomorientes
2002,Spain,Diego Tristán,1976.01.05,diegotristan
2002,Spain,Albert Luque,1978.03.11,albertluque
2002,Slovenia,Marko Simeunovič,1967.12.06,markosimeunovic
2002,Slovenia,Mladen Dabanovič,1971.09.13,mladendabanovic
2002,Slovenia,Dejan Nemec,1977.03.01,dejannemec
2002,Slovenia,Goran Sankovič,1979.06.18,goransankovic
2002,Slovenia,Željko Milinovič,1969.10.12,zeljkomilinovic
2002,Slovenia,Muamer Vugdalić,1977.08.25,muamervugdalic
2002,Slovenia,Marinko Galič,1970.04.22,marinkogalic
2002,Slovenia,Aleksander Knavs,1975.12.05,aleksanderknavs
2002,Slovenia,Saša Gajser,1974.02.11,sasagajser
2002,Slovenia,Amir Karić,1973.12.31,amirkaric
2002,Slovenia,Spasoje Bulajič,1975.11.24,spasojebulajic
2002,Slovenia,Džoni Novak,1969.09.04,dzoninovak
2002,Slovenia,Aleš Čeh,1968.04.07,cehales
2002,Slovenia,Zlatko Zahovič,1971.02.01,zlatkozahovic
2002,Slovenia,Miran Pavlin,1971.10.08,miranpavlin
2002,Slovenia,Rajko Tavčar,1974.07.21,rajkotavcar
2002,Slovenia,Zoran Pavlović,1976.06.27,zoranpavlovic
2002,Slovenia,Nastja Čeh,1978.01.26,cehnastja
2002,Slovenia,Milan Osterc,1975.07.04,milanosterc
2002,Slovenia,Mladen Rudonja,1971.07.26,mladenrudonja
2002,Slovenia,Senad Tiganj,1975.08.28,senadtiganj
2002,Slovenia,Milenko Ačimovič,1977.02.15,milenkoacimovic
2002,Slovenia,Sebastjan Cimirotič,1974.09.14,sebastjancimirotic
2002,Paraguay,José Luis Chilavert,1965.07.27,joseluischilavert
2002,Paraguay,Justo Villar,1977.06.30,justovillar
2002,Paraguay,Ricardo Tavarelli,1970.08.02,ricardotavarelli
2002,Paraguay,Francisco Arce,1971.04.02,franciscoarce
2002,Paraguay,Pedro Sarabia,1975.07.05,pedrosarabia
2002,Paraguay,Carlos Gamarra,1971.02.17,carlosgamarra
2002,Paraguay,Celso Ayala,1970.08.20,celsoayala
2002,Paraguay,Juan Carlos Franco,1973.04.17,juancarlosfranco
2002,Paraguay,Julio César Cáceres,1979.10.05,juliocesarcaceres
2002,Paraguay,Daniel Sarabia,1977.02.08,danielsarabia
2002,Paraguay,Denis Caniza,1974.08.29,deniscaniza
2002,Paraguay,Estanislao Struway,1968.06.25,estanislaostruway
2002,Paraguay,Guido Alvarenga,1970.08.24,guidoalvarenga
2002,Paraguay,Roberto Acuña,1972.03.25,robertoacuna
2002,Paraguay,Carlos Paredes,1976.07.16,carlosparedes
2002,Paraguay,Diego Gavilán,1980.03.01,diegogavilan
2002,Paraguay,Carlos Bonet,1977.10.02,carlosbonet
2002,Paraguay,Gustavo Morínigo,1977.01.23,gustavomorinigo
2002,Paraguay,Richart Báez,1973.07.31,richartbaez
2002,Paraguay,Roque Santa Cruz,1981.08.16,roquesantacruz
2002,Paraguay,Jorge Luis Campos,1970.08.11,jorgeluiscampos
2002,Paraguay,José Cardozo,1971.03.19,josecardozo
2002,Paraguay,Nelson Cuevas,1980.01.10,nelsoncuevas
2002,South Africa,Hans Vonk,1970.01.30,hansvonk
2002,South Africa,Andre Arendse,1967.06.27,andrearendse
2002,South Africa,Calvin Marlin,1976.04.20,calvinmarlin
2002,South Africa,Cyril Nzama,1974.06.26,cyrilnzama
2002,South Africa,Bradley Carnell,1977.01.21,bradleycarnell
2002,South Africa,Aaron Mokoena,1980.11.25,aaronmokoena
2002,South Africa,Jacob Lekgetho,1974.03.24,jacoblekgetho
2002,South Africa,Pierre Issa,1975.09.12,pierreissa
2002,South Africa,Lucas Radebe,1969.04.12,lucasradebe
2002,South Africa,Thabang Molefe,1979.04.11,thabangmolefe
2002,South Africa,MacBeth Sibaya,1977.11.25,macbethsibaya
2002,South Africa,Quinton Fortune,1977.05.21,quintonfortune
2002,South Africa,Thabo Mngomeni,1969.06.24,thabomngomeni
2002,South Africa,MacDonald Mukansi,1975.05.26,macdonaldmukansi
2002,South Africa,Bennett Mnguni,1974.03.18,bennettmnguni
2002,South Africa,Jabu Pule,1980.07.11,jabupule
2002,South Africa,Teboho Mokoena,1974.07.10,tebohomokoena
2002,South Africa,Sibusiso Zuma,1975.06.23,sibusisozuma
2002,South Africa,Delron Buckley,1977.12.07,delronbuckley
2002,South Africa,Steven Pienaar,1982.03.17,stevenpienaar
2002,South Africa,Siyabonga Nomvethe,1977.12.02,siyabonganomvethe
2002,South Africa,Benni McCarthy,1977.11.12,bennimccarthy
2002,South Africa,George Koumantarakis,1974.03.27,georgekoumantarakis
2002,Brazil,Marcos,1973.08.04,marcos
2002,Brazil,Dida,1973.10.07,dida
2002,Brazil,Rogério Ceni,1973.01.22,rogerioceni
2002,Brazil,Cafu,1970.06.07,cafu
2002,Brazil,Lúcio,1978.05.08,lucio
2002,Brazil,Roque Júnior,1976.08.31,roquejunior
2002,Brazil,Edmílson,1976.07.10,edmilson
2002,Brazil,Roberto Carlos,1973.04.10,robertocarlos
2002,Brazil,Juliano Belletti,1976.06.20,julianobelletti
2002,Brazil,Ânderson Polga,1979.02.09,andersonpolga
2002,Brazil,Júnior,1973.06.20,junior
2002,Brazil,Ricardinho,1976.05.23,ricardinho
2002,Brazil,Gilberto Silva,1976.10.07,gilbertosilva
2002,Brazil,Rivaldo,1972.04.19,rivaldo
2002,Brazil,Ronaldinho,1980.03.21,ronaldinho
2002,Brazil,Kléberson,1979.06.19,kleberson
2002,Brazil,Vampeta,1974.03.13,vampeta
2002,Brazil,Juninho Paulista,1973.02.22,juninhopaulista
2002,Brazil,Kaká,1982.04.22,kaka
2002,Brazil,Ronaldo,1976.09.18,ronaldo
2002,Brazil,Denilson,1977.08.24,denilson
2002,Brazil,Edílson,1971.09.17,edilson
2002,Brazil,Luizão,1975.11.14,luizao
2002,Turkey,Rüştü Reçber,1973.05.10,rusturecber
2002,Turkey,Ömer Çatkıç,1974.10.15,omercatkıc
2002,Turkey,Zafer Özgültekin,1975.03.10,zaferozgultekin
2002,Turkey,Emre Aşık,1973.12.13,emreasık
2002,Turkey,Bülent Korkmaz,1968.11.24,bulentkorkmaz
2002,Turkey,Fatih Akyel,1977.12.26,fatihakyel
2002,Turkey,Alpay Özalan,1973.05.29,alpayozalan
2002,Turkey,Ümit Özat,1976.10.30,umitozat
2002,Turkey,Hakan Ünsal,1973.05.14,hakanunsal
2002,Turkey,Okan Buruk,1973.10.19,okanburuk
2002,Turkey,Tugay Kerimoğlu,1970.08.24,tugaykerimoglu
2002,Turkey,Yıldıray Baştürk,1978.12.24,yıldıraybasturk
2002,Turkey,Muzzy Izzet,1974.10.31,muzzyizzet
2002,Turkey,Tayfur Havutçu,1970.04.23,tayfurhavutcu
2002,Turkey,Ergün Penbe,1972.05.17,ergunpenbe
2002,Turkey,Abdullah Ercan,1971.12.08,abdullahercan
2002,Turkey,Emre Belözoğlu,1980.09.07,emrebelozoglu
2002,Turkey,Ümit Davala,1973.07.30,umitdavala
2002,Turkey,Arif Erdem,1972.01.02,ariferdem
2002,Turkey,Hakan Şükür,1971.09.01,hakansukur
2002,Turkey,Hasan Şaş,1976.08.01,sashasan
2002,Turkey,Nihat Kahveci,1979.11.23,nihatkahveci
2002,Turkey,İlhan Mansız,1975.08.10,ilhanmansız
2002,China,An Qi,1981.06.21,anqi
2002,China,Jiang Jin,1968.10.07,jinjiang
2002,China,Ou Chuliang,1968.08.26,ouchuliang
2002,China,Zhang Enhua,1973.04.28,zhangenhua
2002,China,Yang Pu,1978.03.30,puyang
2002,China,Wu Chengying,1975.04.21,wuchengying
2002,China,Fan Zhiyi,1969.11.06,fanzhiyi
2002,China,Sun Jihai,1977.09.30,sunjihai
2002,China,Li Weifeng,1978.12.01,liweifeng
2002,China,Du Wei,1982.02.09,duwei
2002,China,Xu Yunlong,1979.02.17,xuyunlong
2002,China,Shao Jiayi,1980.04.10,shaojiayi
2002,China,Li Tie,1977.05.18,litie
2002,China,Ma Mingyu,1970.02.04,mamingyu
2002,China,Yu Genwei,1974.01.07,yugenwei
2002,China,Gao Yao,1977.07.13,gaoyao
2002,China,Zhao Junzhe,1979.04.19,zhaojunzhe
2002,China,Li Xiaopeng,1975.06.20,lixiaopeng
2002,China,Qi Hong,1976.06.03,qihong
2002,China,Hao Haidong,1970.05.09,haohaidong
2002,China,Su Maozhen,1972.07.30,sumaozhen
2002,China,Qu Bo,1981.07.15,qubo
2002,China,Yang Chen,1974.01.17,yangchen
2002,Costa Rica,Erick Lonnis,1965.09.09,ericklonnis
2002,Costa Rica,Álvaro Mesén,1972.12.24,alvaromesen
2002,Costa Rica,Lester Morgan,1976.05.02,lestermorgan
2002,Costa Rica,Jervis Drummond,1976.09.08,jervisdrummond
2002,Costa Rica,Luis Marín,1974.08.10,luismarin
2002,Costa Rica,Mauricio Wright,1970.12.20,mauriciowright
