년도,국가,평균나이,top20소속선수수
2002,Argentina,28.78,6
2002,Belgium,29.52,0
2002,Brazil,26.74,3
2002,Cameroon,25.39,1
2002,China,26.65,2
2002,Costa Rica,27.7,1
2002,Croatia,28.13,3
2002,Denmark,28.09,2
2002,Ecuador,27.96,0
2002,England,27.3,9
2002,Germany,28.26,10
2002,Italy,28.17,6
2002,Japan,25.87,0
2002,Mexico,29.04,0
2002,Nigeria,24.04,1
2002,Paraguay,28.22,0
2002,Poland,28.74,2
2002,Portugal,28.39,2
2002,Republic of Ireland,27.52,2
2002,Russia,27.96,0
2002,Saudi Arabia,26.43,0
2002,Senegal,24.87,0
2002,Slovenia,28.7,1
2002,South Africa,26.83,1
2002,South Korea,27.13,0
2002,Spain,27.13,3
2002,Sweden,27.3,1
2002,Tunisia,27.43,0
2002,Turkey,28.26,1
2002,United States,28.83,1
2002,Uruguay,25.83,2
2006,Angola,26.74,1
2006,Argentina,26.57,7
2006,Australia,28.65,1
2006,Brazil,28.7,3
2006,Costa Rica,28.09,0
2006,Croatia,27.91,1
2006,Czechia,28.87,3
2006,Côte d'Ivoire,25.96,1
2006,Ecuador,27.0,0
2006,England,25.87,12
2006,France,29.22,4
2006,Ghana,25.35,3
2006,Iran,27.17,0
2006,Italy,28.78,3
2006,Japan,27.74,0
2006,Mexico,27.91,1
2006,Netherlands,27.13,6
2006,Paraguay,27.17,0
2006,Poland,27.17,2
2006,Portugal,28.43,8
2006,Saudi Arabia,26.96,0
2006,Serbia,28.48,2
2006,South Korea,26.43,1
2006,Spain,26.26,9
2006,Sweden,28.17,2
2006,Switzerland,25.52,3
2006,Togo,25.96,1
2006,Trinidad and Tobago,29.7,1
2006,Tunisia,27.43,0
2006,Ukraine,26.39,1
2006,United States,28.61,2
2010,Algeria,26.74,1
2010,Argentina,27.57,7
2010,Australia,29.13,0
2010,Brazil,29.17,6
2010,Cameroon,25.57,0
2010,Chile,26.43,1
2010,Czechia,26.65,1
2010,Côte d'Ivoire,27.17,4
2010,Denmark,28.35,1
2010,England,29.0,13
2010,France,28.17,5
2010,Germany,25.35,2
2010,Ghana,24.74,1
2010,Greece,28.04,1
2010,Honduras,28.35,0
2010,Italy,28.74,1
2010,Japan,28.17,0
2010,Mexico,27.52,2
2010,Netherlands,28.13,3
2010,New Zealand,27.91,0
2010,Nigeria,26.39,0
2010,North Korea,25.91,0
2010,Paraguay,28.87,4
2010,Portugal,28.22,7
2010,Serbia,26.52,3
2010,Slovenia,27.17,0
2010,South Korea,27.48,1
2010,Spain,26.3,9
2010,Switzerland,27.13,4
2010,United States,27.26,2
2010,Uruguay,27.09,2
2014,Algeria,26.57,0
2014,Argentina,28.83,7
2014,Australia,26.39,1
2014,Belgium,25.91,7
2014,Bosnia and Herzegovina,27.04,3
2014,Cameroon,26.57,2
2014,Chile,28.04,1
2014,Colombia,27.43,2
2014,Costa Rica,27.48,0
2014,Croatia,27.35,0
2014,Côte d'Ivoire,28.0,4
2014,Ecuador,27.78,1
2014,England,26.65,14
2014,France,26.83,2
2014,Germany,26.22,5
2014,Ghana,25.65,0
2014,Greece,28.52,2
2014,Honduras,28.74,0
2014,Iran,28.48,0
2014,Italy,27.91,1
2014,Japan,27.22,2
2014,Mexico,27.17,2
2014,Netherlands,26.43,1
2014,Nigeria,26.0,2
2014,Portugal,28.48,3
2014,Russia,27.43,0
2014,South Korea,26.13,1
2014,Spain,28.26,16
2014,Switzerland,26.09,1
2014,United States,27.87,0
2014,Uruguay,28.57,5
2018,Argentina,29.52,7
2018,Australia,28.22,0
2018,Belgium,27.57,9
2018,Brazil,28.61,11
2018,Colombia,28.35,1
2018,Costa Rica,29.74,0
2018,Croatia,27.83,5
2018,Denmark,27.09,1
2018,Egypt,28.96,1
2018,England,26.09,11
2018,France,26.09,8
2018,Germany,27.09,4
2018,Iceland,28.48,0
2018,Iran,27.26,0
2018,Japan,28.52,2
2018,Mexico,29.17,4
2018,Morocco,27.17,0
2018,Nigeria,26.04,1
2018,Panama,28.83,0
2018,Peru,27.48,0
2018,Poland,28.26,1
2018,Portugal,28.43,4
2018,Russia,28.91,0
2018,Saudi Arabia,28.78,0
2018,Senegal,27.09,2
2018,Serbia,26.78,5
2018,South Korea,27.78,0
2018,Spain,28.43,9
2018,Sweden,28.17,1
2018,Switzerland,27.26,5
2018,Tunisia,26.48,0
2018,Uruguay,28.09,3
2022,Argentina,27.81,9
2022,Australia,27.23,0
2022,Belgium,27.88,5
2022,Brazil,28.0,9
2022,Cameroon,26.38,0
2022,Canada,27.08,0
2022,Costa Rica,27.23,0
2022,Croatia,27.42,3
2022,Denmark,27.23,4
2022,Ecuador,25.62,1
2022,England,26.54,15
2022,France,26.69,7
2022,Germany,26.85,11
2022,Ghana,24.92,0
2022,Iran,28.92,1
2022,Japan,27.81,1
2022,Mexico,28.58,0
2022,Morocco,26.31,2
2022,Netherlands,26.69,6
2022,Poland,27.04,2
2022,Portugal,26.88,12
2022,Qatar,27.12,0
2022,Saudi Arabia,27.42,0
2022,Senegal,26.04,2
2022,Serbia,26.92,0
2022,South Korea,27.81,0
2022,Spain,25.38,14
2022,Switzerland,27.08,4
2022,Tunisia,28.0,0
2022,United States,25.31,2
2022,Uruguay,27.85,5
2022,Wales,26.54,0
