year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,gk,passing,defending
2002,Senegal,75,28,35,50,50.0,30,23,35,35,40,60.0,62.5,35.0,34.5
2002,Senegal,56,57,51,57,55.0,56,36,70,57,59,64.0,31.5,38.5,26.0
2002,Senegal,70.0,69.0,43.0,70.0,59.0,62.0,59.0,56.0,55.0,60.0,70.0,28.0,46.0,74.5
2002,Senegal,69,70,62,73,70.0,50,50,87,84,70,70.0,20.0,41.0,70.0
2002,Senegal,64.0,62.0,62.0,63.0,64.0,54.0,46.0,64.0,68.0,64.0,72.0,29.0,63.0,67.0
2002,Senegal,71.0,73.0,73.0,70.0,75.0,71.0,73.0,68.0,68.0,69.0,86.0,32.0,61.5,72.0
2002,Senegal,72.0,59.0,48.0,65.0,59.0,50.0,55.0,73.0,77.0,69.0,48.0,27.0,59.0,77.5
2002,Senegal,67.0,60.0,50.0,63.0,59.0,70.0,60.0,70.0,70.0,60.0,61.0,31.5,63.5,70.0
2002,Senegal,71.0,67.0,40.0,68.0,40.0,40.0,61.0,65.0,81.0,67.0,83.0,32.5,57.5,77.0
2002,Senegal,69.0,64.0,65.0,61.0,62.0,61.0,63.0,65.0,64.0,57.0,70.0,26.5,66.0,70.5
2002,Senegal,72,75,71,65,69.0,70,62,62,65,66,60.0,20.0,59.5,42.0
2002,Senegal,73.0,75.0,63.0,66.0,72.0,50.0,65.0,65.0,65.0,60.0,75.0,26.0,67.0,81.0
2002,Senegal,65.0,68.0,57.0,52.0,53.0,60.0,68.0,60.0,59.0,74.0,63.0,23.5,64.0,50.5
2002,Senegal,74.0,76.0,68.0,71.0,60.0,71.0,67.0,71.0,71.0,80.0,80.0,33.5,72.0,73.0
2002,Senegal,75.0,76.0,58.0,76.0,70.0,74.0,73.0,68.0,65.0,75.0,84.0,31.0,69.0,76.5
2002,Senegal,76.0,80.0,73.0,68.0,65.0,50.0,67.0,70.0,72.0,68.0,84.0,28.5,71.0,70.5
2002,Senegal,62.0,48.0,76.0,66.0,36.0,57.0,86.0,91.0,65.0,39.0,80.0,30.0,62.5,70.5
2002,Senegal,77.0,70.0,75.0,78.0,76.0,69.0,69.0,88.0,90.0,75.0,75.0,24.5,73.0,60.0
2002,Senegal,77,74,69,84,72.0,69,74,75,75,70,85.0,30.0,74.0,85.5
2002,Senegal,70.0,74.0,66.0,60.0,40.0,70.0,57.0,65.0,72.0,50.0,60.0,27.5,41.0,43.5
2002,Senegal,77.0,76.0,82.0,81.0,50.0,91.0,80.0,90.0,92.0,91.0,87.0,32.0,76.5,48.5
2002,Senegal,65.0,80.0,53.0,70.0,62.0,80.0,63.0,69.0,88.0,60.0,70.0,27.5,54.5,28.5
2002,Uruguay,62,47,47,70,42.0,40,36,70,72,70,78.0,26.0,41.5,72.0
2002,Uruguay,74,35,35,55,73.0,40,31,65,65,50,75.0,70.0,35.0,31.5
2002,Uruguay,67,53,72,66,50.0,50,30,60,67,66,78.0,26.0,40.0,30.0
2002,Uruguay,72,65,44,76,81.0,35,63,65,75,70,83.0,29.0,57.5,75.0
2002,Uruguay,80.0,43.0,35.0,67.0,70.0,20.0,32.0,65.0,55.0,67.0,84.0,32.0,50.0,86.0
2002,Uruguay,66.0,58.0,53.0,59.0,43.0,40.0,50.0,66.0,73.0,78.0,75.0,25.0,59.0,71.0
2002,Uruguay,77.0,65.0,35.0,75.0,63.0,50.0,59.0,35.0,35.0,65.0,81.0,27.0,35.0,73.0
2002,Uruguay,65.0,58.0,54.0,66.0,65.0,53.0,53.0,56.0,65.0,58.0,72.0,28.0,59.0,67.0
2002,Uruguay,77,78,62,59,60.0,69,67,65,82,77,73.0,25.5,70.5,74.0
2002,Uruguay,67,71,85,83,76.0,65,65,50,90,71,90.0,21.0,65.0,75.0
2002,Uruguay,62,46,30,45,48.0,30,48,70,52,46,48.0,28.5,40.0,66.0
2002,Uruguay,76,73,62,72,67.0,63,80,65,66,70,70.0,32.0,76.5,73.5
2002,Uruguay,64,74,80,84,60.0,68,65,80,85,76,82.0,24.5,56.5,37.0
2002,Uruguay,84.0,88.0,95.0,84.0,68.0,92.0,94.0,86.0,89.0,83.0,87.0,28.5,69.0,65.5
2002,Uruguay,77,72,65,74,69.0,65,68,69,84,74,83.0,25.0,79.0,83.5
2002,Uruguay,67.0,73.0,67.0,62.0,64.0,50.0,56.0,65.0,72.0,61.0,76.0,23.0,68.5,56.0
2002,Uruguay,81.0,76.0,76.0,83.0,51.0,74.0,54.0,80.0,85.0,75.0,84.0,23.5,56.0,40.0
2002,Uruguay,77.0,74.0,69.0,75.0,79.0,60.0,68.0,71.0,82.0,74.0,92.0,29.0,75.5,79.5
2002,Uruguay,67,73,67,76,71.0,60,47,72,76,76,85.0,35.0,51.0,35.0
2002,Uruguay,65,22,35,47,51.0,59,21,35,35,46,46.0,65.5,35.0,33.5
2002,Uruguay,74,78,58,78,56.0,54,54,65,80,70,78.0,26.5,64.5,38.0
2002,Uruguay,83.0,81.0,79.0,77.0,73.0,50.0,66.0,73.0,82.0,69.0,86.0,32.0,62.0,42.0
2002,Denmark,82.0,30.0,33.0,51.0,60.0,50.0,28.0,31.0,50.0,60.0,75.0,81.5,37.5,30.5
2002,Denmark,63.0,30.0,21.0,55.0,44.0,28.0,28.0,61.0,75.0,67.0,79.0,59.0,24.5,25.5
2002,Denmark,74.0,79.0,87.0,75.0,60.0,20.0,68.0,78.0,74.0,69.0,80.0,27.5,81.0,72.5
