,년도,국가,포지션,등번호,한글 성명,로마자 성명,생년월일,소속팀
0,2002,세네갈,GK,1,토니 실바,Tony Sylva,1975.05.17,AS 모나코
1,2002,세네갈,GK,16,오마르 디알로,Omar Diallo,1972.09.28,올랭피크 쿠리브가
2,2002,세네갈,GK,22,칼리두 시소코,Kalidou Cissokho,1978.08.28,ASC 잔다르크
3,2002,세네갈,DF,2,오마르 다프,Omar Daf,1977.02.12,FC 소쇼
4,2002,세네갈,DF,4,파페 말리크 디오프,Pape Malick Diop,1974.12.29,FC 로리앙
5,2002,세네갈,DF,5,알라산 은두르,Alassane N'Dour,1981.12.12,AS 생테티엔
6,2002,세네갈,DF,6,알리우 시세,Aliou Cissé,1976.03.24,몽펠리에 HSC
7,2002,세네갈,DF,13,라민 디아타,Lamine Diatta,1975.07.02,스타드 렌 FC
8,2002,세네갈,DF,17,페르디낭 콜리,Ferdinand Coly,1973.09.10,RC 랑스
9,2002,세네갈,DF,21,하비브 베예,Habib Beye,1977.10.19,RC 스트라스부르
10,2002,세네갈,MF,3,파프 사르,Pape Sarr,1977.12.07,RC 랑스
11,2002,세네갈,MF,10,칼릴루 파디가,Khalilou Fadiga,1974.12.30,AJ 오세르
12,2002,세네갈,MF,12,암디 파예,Amdy Faye,1977.03.12,AJ 오세르
13,2002,세네갈,MF,14,무사 은디아예,Moussa N'Diaye,1979.02.20,CS 스당
14,2002,세네갈,MF,15,살리프 디아오,Salif Diao,1977.02.10,CS 스당
15,2002,세네갈,MF,19,파파 부바 디오프,Papa Bouba Diop,1978.01.28,RC 랑스
16,2002,세네갈,MF,20,실뱅 은디아예,Sylvain N'Diaye,1976.06.25,릴 OSC
17,2002,세네갈,MF,23,마크타르 은디아예,Makhtar N'Diaye,1981.12.31,스타드 렌 FC
18,2002,세네갈,FW,7,앙리 카마라,Henri Camara,1977.05.10,CS 스당
19,2002,세네갈,FW,8,아마라 트라오레,Amara Traoré,1976.09.25,FC 괴뇽
20,2002,세네갈,FW,9,술레이만 카마라,Souleymane Camara,1982.12.22,AS 모나코
21,2002,세네갈,FW,11,엘 하지 디우프,El Hadji Diouf,1981.01.15,RC 랑스
