Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,,Spain,1824,1883,-59,,2010-09-15
2,,Netherlands,1663,1659,+4,,2010-09-15
3,1,Germany,1490,1464,+26,,2010-09-15
4,1,Brazil,1480,1524,-44,,2010-09-15
5,,Argentina,1351,1288,+63,,2010-09-15
6,1,England,1191,1125,+66,,2010-09-15
7,1,Uruguay,1182,1152,+30,,2010-09-15
8,,Portugal,1049,1062,-13,,2010-09-15
9,,Egypt,1034,1053,-19,,2010-09-15
10,,Chile,1004,988,+16,,2010-09-15
11,3,Croatia,998,968,+30,,2010-09-15
12,,Greece,973,975,-2,,2010-09-15
13,2,Italy,965,982,-17,,2010-09-15
14,8,Norway,958,878,+80,,2010-09-15
15,2,Serbia,945,969,-24,,2010-09-15
16,11,Slovakia,919,829,+90,,2010-09-15
17,2,Paraguay,904,961,-57,,2010-09-15
18,,USA,899,931,-32,,2010-09-15
19,,Slovenia,897,917,-20,,2010-09-15
20,3,Ghana,889,874,+15,,2010-09-15
21,4,Switzerland,882,940,-58,,2010-09-15
21,7,Turkey,882,810,+72,,2010-09-15
23,3,Côte d'Ivoire,877,843,+34,,2010-09-15
24,4,Australia,874,911,-37,,2010-09-15
25,9,Russia,868,956,-88,,2010-09-15
26,2,Ukraine,838,870,-32,,2010-09-15
27,6,France,835,890,-55,,2010-09-15
28,3,Mexico,795,853,-58,,2010-09-15
29,,Denmark,781,785,-4,,2010-09-15
30,2,Japan,773,768,+5,,2010-09-15
31,3,Gabon,768,755,+13,,2010-09-15
32,3,Sweden,760,747,+13,,2010-09-15
33,3,Republic of Ireland,745,734,+11,,2010-09-15
34,4,Nigeria,733,773,-40,,2010-09-15
35,2,Algeria,732,759,-27,,2010-09-15
36,2,Israel,721,733,-12,,2010-09-15
37,3,Cameroon,717,710,+7,,2010-09-15
37,6,Czech Republic,717,769,-52,,2010-09-15
39,6,Burkina Faso,703,646,+57,,2010-09-15
40,33,Montenegro,684,448,+236,,2010-09-15
40,4,Colombia,684,734,-50,,2010-09-15
42,10,Lithuania,675,571,+104,,2010-09-15
43,20,Cyprus,643,523,+120,,2010-09-15
44,,Korea Republic,640,651,-11,,2010-09-15
45,14,Northern Ireland,638,540,+98,,2010-09-15
46,4,Romania,631,697,-66,,2010-09-15
47,6,Scotland,617,699,-82,,2010-09-15
48,9,Peru,613,726,-113,,2010-09-15
49,5,New Zealand,605,557,+48,,2010-09-15
50,,Bolivia,591,577,+14,,2010-09-15
51,11,Hungary,567,534,+33,,2010-09-15
52,6,Honduras,565,627,-62,,2010-09-15
53,,Costa Rica,561,562,-1,,2010-09-15
54,11,Bulgaria,556,672,-116,,2010-09-15
55,23,Belarus,554,403,+151,,2010-09-15
56,8,Tunisia,551,519,+32,,2010-09-15
57,8,IR Iran,546,517,+29,,2010-09-15
58,8,South Africa,545,504,+41,,2010-09-15
59,2,Bosnia and Herzegovina,544,546,-2,,2010-09-15
60,13,Venezuela,531,592,-61,,2010-09-15
61,1,Austria,528,536,-8,,2010-09-15
62,14,Belgium,526,589,-63,,2010-09-15
63,6,Uganda,523,459,+64,,2010-09-15
64,13,Finland,521,576,-55,,2010-09-15
65,10,Mali,518,548,-30,,2010-09-15
66,10,Poland,504,547,-43,,2010-09-15
67,3,Albania,502,455,+47,,2010-09-15
68,19,Latvia,494,579,-85,,2010-09-15
69,8,Benin,489,535,-46,,2010-09-15
70,27,Panama,487,314,+173,,2010-09-15
71,5,FYR Macedonia,479,504,-25,,2010-09-15
72,14,Ecuador,477,545,-68,,2010-09-15
73,3,Saudi Arabia,460,455,+5,,2010-09-15
74,2,Zambia,432,449,-17,,2010-09-15
75,7,Bahrain,431,466,-35,,2010-09-15
75,7,Jamaica,425,372,+53,,2010-09-15
77,31,Cape Verde Islands,422,261,+161,,2010-09-15
78,4,Malawi,415,424,-9,,2010-09-15
79,12,Senegal,405,338,+67,,2010-09-15
80,9,Moldova,398,350,+48,,2010-09-15
81,21,Guinea,394,286,+108,,2010-09-15
82,11,Botswana,388,329,+59,,2010-09-15
82,5,China PR,388,406,-18,,2010-09-15
84,9,Togo,386,421,-35,,2010-09-15
84,,Wales,382,366,+16,,2010-09-15
85,9,Estonia,375,321,+54,,2010-09-15
86,6,Mozambique,374,381,-7,,2010-09-15
88,13,Canada,360,287,+73,,2010-09-15
89,21,Georgia,357,237,+120,,2010-09-15
90,,United Arab Emirates,349,348,+1,,2010-09-15
91,12,Gambia,345,285,+60,,2010-09-15
92,11,Oman,344,377,-33,,2010-09-15
93,6,Angola,342,357,-15,,2010-09-15
94,2,Syria,332,336,-4,,2010-09-15
95,12,Morocco,330,371,-41,,2010-09-15
96,11,Kuwait,329,365,-36,,2010-09-15
97,9,Uzbekistan,327,351,-24,,2010-09-15
97,21,Trinidad and Tobago,327,418,-91,,2010-09-15
99,1,Jordan,318,300,+18,,2010-09-15
100,21,Iceland,308,385,-77,,2010-09-15
102,3,Azerbaijan,287,266,+21,,2010-09-15
102,2,Thailand,287,276,+11,,2010-09-15
104,6,Qatar,278,300,-22,,2010-09-15
105,9,Armenia,273,318,-45,,2010-09-15
106,6,Korea DPR,270,288,-18,,2010-09-15
107,13,Libya,262,321,-59,,2010-09-15
107,1,Iraq,262,263,-1,,2010-09-15
107,2,Yemen,262,249,+13,,2010-09-15
110,24,El Salvador,253,360,-107,,2010-09-15
111,,Tanzania,239,235,+4,,2010-09-15
112,1,Rwanda,226,235,-9,,2010-09-15
113,1,Cuba,218,215,+3,,2010-09-15
114,2,Kenya,215,210,+5,,2010-09-15
115,4,Guatemala,214,201,+13,,2010-09-15
116,1,Namibia,212,213,-1,,2010-09-15
117,11,Congo,202,263,-61,,2010-09-15
118,5,Zimbabwe,194,224,-30,,2010-09-15
119,1,Singapore,189,198,-9,,2010-09-15
120,2,Guyana,182,190,-8,,2010-09-15
121,6,Barbados,180,174,+6,,2010-09-15
122,20,Burundi,179,125,+54,,2010-09-15
123,6,Antigua and Barbuda,175,168,+7,,2010-09-15
123,8,Haiti,175,166,+9,,2010-09-15
125,2,Vietnam,174,174,-,,2010-09-15
126,1,Kazakhstan,171,184,-13,,2010-09-15
127,3,Fiji,161,167,-6,,2010-09-15
128,4,Grenada,160,163,-3,,2010-09-15
129,4,Turkmenistan,154,152,+2,,2010-09-15
130,13,Luxembourg,153,209,-56,,2010-09-15
131,4,Indonesia,151,143,+8,,2010-09-15
132,5,Sierra Leone,144,130,+14,,2010-09-15
132,9,Congo DR,144,187,-43,,2010-09-15
134,10,Chad,142,185,-43,,2010-09-15
135,9,Ethiopia,136,116,+20,,2010-09-15
136,3,Hong Kong,135,152,-17,,2010-09-15
137,11,Suriname,133,181,-48,,2010-09-15
138,20,Faroe Islands,132,206,-74,,2010-09-15
139,17,Liberia,131,94,+37,,2010-09-15
140,48,Guinea-Bissau,127,19,+108,,2010-09-15
141,1,Myanmar,126,127,-1,,2010-09-15
142,6,Swaziland,122,136,-14,,2010-09-15
143,,Maldives,117,117,-,,2010-09-15
144,5,Malaysia,111,128,-17,,2010-09-15
145,9,New Caledonia,108,99,+9,,2010-09-15
145,3,Tajikistan,108,106,+2,,2010-09-15
145,7,Bangladesh,108,104,+4,,2010-09-15
148,5,Sri Lanka,104,101,+3,,2010-09-15
149,8,Liechtenstein,102,126,-24,,2010-09-15
150,1,Malta,96,105,-9,,2010-09-15
151,6,St. Kitts and Nevis,94,110,-16,,2010-09-15
151,3,Lebanon,94,106,-12,,2010-09-15
153,7,St. Vincent / Grenadines,93,87,+6,,2010-09-15
154,9,Niger,91,110,-19,,2010-09-15
154,6,Madagascar,91,106,-15,,2010-09-15
156,3,Nepal,88,88,-,,2010-09-15
157,2,Lesotho,87,96,-9,,2010-09-15
158,3,Nicaragua,86,86,-,,2010-09-15
159,4,Kyrgyz Republic,83,78,+5,,2010-09-15
160,22,India,82,129,-47,,2010-09-15
161,4,Eritrea,80,92,-12,,2010-09-15
162,2,Pakistan,75,75,-,,2010-09-15
163,5,Bermuda,74,91,-17,,2010-09-15
164,19,Equatorial Guinea,73,110,-37,,2010-09-15
165,,Philippines,67,67,-,,2010-09-15
166,4,Vanuatu,63,84,-21,,2010-09-15
166,1,Netherlands Antilles,63,67,-4,,2010-09-15
168,12,Belize,54,32,+22,,2010-09-15
169,1,Mauritania,53,62,-9,,2010-09-15
170,5,Chinese Taipei,52,67,-15,,2010-09-15
170,,Puerto Rico,52,52,-,,2010-09-15
172,30,Central African Republic,50,0,+50,,2010-09-15
173,2,Palestine,49,50,-1,,2010-09-15
